Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.12.01.00,,
Nama Organisasi,Badan Keluarga Berencana Perlindungan Perempuan dan Pemberdayaan Masyarakat,,
Kolom,4,,
Kode Rekening,Uraian,Jumlah,Keterangan
1.12.1.12.20.00.00.002.5,BELANJA DAERAH,19526326277.5,
1,URUSAN WAJIB,7242662000,
1.12,Keluarga Berencana dan Keluarga Sejahtera,7242662000,
1.12.1.12.20.00.00.002.5.1,Belanja Tidak Langsung,7242662000,Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS
1.12.1.12.20.00.00.002.5.1.1,Belanja Pegawai,7242662000,
1.12.1.12.20.00.00.002.5.2,Belanja Langsung,12283664277.5,
1,URUSAN WAJIB,12283664277.5,
1.12,Keluarga Berencana dan Keluarga Sejahtera,5990257950,
1.12.1.12.20.00.01,Program Pelayanan Administrasi Perkantoran,1101774850,
1.12.1.12.20.00.01.007,Penyediaan jasa administrasi keuangan,36000000,
1.12.1.12.20.00.01.007.5.2.1,Belanja Pegawai,36000000,
1.12.1.12.20.00.01.017,Penyediaan makanan dan minuman rapat,89995000,
1.12.1.12.20.00.01.017.5.2.2,Belanja Barang Dan Jasa,89995000,
1.12.1.12.20.00.01.018,Rapat-rapat Koordinasi dan konsultasi,400000000,
1.12.1.12.20.00.01.018.5.2.2,Belanja Barang Dan Jasa,400000000,
1.12.1.12.20.00.01.020,Penyediaan bahan dan jasa administrasi perkantoran,239999850,
1.12.1.12.20.00.01.020.5.2.1,Belanja Pegawai,3150000,
1.12.1.12.20.00.01.020.5.2.2,Belanja Barang Dan Jasa,236849850,
1.12.1.12.20.00.01.023,Penyediaan jasa langganan,120780000,
1.12.1.12.20.00.01.023.5.2.2,Belanja Barang Dan Jasa,120780000,
1.12.1.12.20.00.01.024,Penyediaan jasa keamanan dan kebersihan kantor,215000000,
1.12.1.12.20.00.01.024.5.2.1,Belanja Pegawai,3040000,
1.12.1.12.20.00.01.024.5.2.2,Belanja Barang Dan Jasa,211960000,
1.12.1.12.20.00.02,Program peningkatan sarana dan prasarana aparatur,930000000,
1.12.1.12.20.00.02.022,Pemeliharaan rutin/berkala gedung kantor dan rumah dinas,100000000,
1.12.1.12.20.00.02.022.5.2.1,Belanja Pegawai,22900000,
1.12.1.12.20.00.02.022.5.2.2,Belanja Barang Dan Jasa,77100000,
1.12.1.12.20.00.02.024,Pemeliharaan rutin/berkala kendaraan dinas/operasional,750000000,
1.12.1.12.20.00.02.024.5.2.2,Belanja Barang Dan Jasa,750000000,
