"Judul","Realisasi Anggaran Pendapatan Belanja Daerah",,,,,
"Daerah","Kabupaten Sleman",,,,,
"Tahun",2015,,,,,
"Kode Organisasi","1.20.08.00",,,,,
"Nama Organisasi","Dinas Pasar",,,,,
"Kolom",7,,,,,
"No. Rekening","Uraian","Sebelum","Sesudah","Selisih","Prosentase","Keterangan"
1,"URUSAN WAJIB",5333913500,5333913500,"0,00","0.00",
"1.2","Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan",5333913500,5333913500,"0,00","0.00",
"1.20.1.20.08.00.00.001.4","Pendapatan",5333913500,5333913500,"0,00","0.00","Perda 2 thn 2012 Retribusi Pelayanan Pasar. Perda No. 13 Tahun 2011 tentang Retribusi Pelayanan Persampahan/Kebersihan. Perda No.5 Tahun 2012 Tentang Retribusi Pemakaian Kekayaan Daerah"
"1.20.1.20.08.00.00.001.4.1","Pendapatan Asli Daerah",5333913500,5333913500,"0,00","0.00",
"1.20.1.20.08.00.00.001.4.1.2","Retribusi Daerah",5333913500,5333913500,"0,00","0.00",
,"Jumlah Pendapatan",5333913500,5333913500,"0,00","0.00",
"1.20.1.20.08.00.00.002.5","BELANJA DAERAH",18327213500,17345830605,-981382895,"(5.35)",
1,"URUSAN WAJIB",7000492000,7050979505,50487505,"0.72",
"1.2","Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan",7000492000,7050979505,50487505,"0.72",
"1.20.1.20.08.00.00.002.5.1","Belanja Tidak Langsung",7000492000,7050979505,50487505,"0.72","Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS."
"1.20.1.20.08.00.00.002.5.1.1","Belanja Pegawai",7000492000,7050979505,50487505,"0.72",
"1.20.1.20.08.00.00.002.5.2","Belanja Langsung",11326721500,10294851100,-1031870400,"(9.11)",
1,"URUSAN WAJIB",4973586500,4973586500,11177600,"0.22",
"1.2","Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan",3822326000,3769876100,-52449900,"(1.37)",
"1.20.1.20.08.00.01","Program Pelayanan Administrasi Perkantoran",2280182000,2228879000,-51303000,"(2.25)",
"1.20.1.20.08.00.02","Program peningkatan sarana dan prasarana aparatur",739668000,739668000,"0,00","0.00",
"1.20.1.20.08.00.05","Program peningkatan kapasitas sumber daya aparatur",49434000,49270500,-163500,"(0.33)",
"1.20.1.20.08.00.06","Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan",96769000,98433600,1664600,"1.72",
"1.20.1.20.08.00.17","Program peningkatan dan Pengembangan pengelolaan keuangan dan kekayaan daerah",486749000,484101000,-2648000,"(0.54)",
"1.20.1.20.08.00.17.019","Intensifikasi dan Ekstensifikasi sumber-sumber pendapatan daerah",348912000,346264000,-2648000,"(0.76)",
"1.20.1.20.08.00.17.061","Pembinaan Bendahara",14937000,14937000,"0,00","0.00",
"1.20.1.20.08.00.17.071","Intensifikasi dan Ekstensifikasi Pajak dan Retribusi",122900000,122900000,"0,00","0.00",
"1.20.1.20.08.00.20","Program peningkatan sistem pengawasan internal dan pengendalian pelaksanaan kebijakan KDH",29071000,29071000,"0,00","0.00",
"1.20.1.20.08.00.20.016","Implementasi SPIP",29071000,29071000,"0,00","0.00",
"1.20.1.20.08.00.33","Program peningkatan kualitas pelayanan publik",27133000,27133000,"0,00","0.00",
"1.20.1.20.08.00.33.065","Koordinasi/monitoring dan evaluasi penyelenggaraan bidang fisik",27133000,27133000,"0,00","0.00",
"1.20.1.20.08.00.38","Program Pengelolaan Pendapatan Daerah",18120000,18120000,"0,00","0.00",
"1.20.1.20.08.00.38.015","Evaluasi PAD",18120000,18120000,"0,00","0.00",
"1.06","Perencanaan Pembangunan",592808000,645604000,52796000,"8.91",
"1.06.1.20.08.00.21","Program perencanaan pembangunan daerah",47172000,53563000,6391000,"13.55",
"1.06.1.20.08.00.21.018","Penyusunan Renstra SKPD",47172000,53563000,6391000,"13.55",
"1.06.1.20.08.00.22","Program perencanaan pembangunan ekonomi",545636000,592041000,46405000,"8.50",
"1.06.1.20.08.00.22.023","Perencanaan Pengembangan Perindustrian, Perdagangan dan Koperasi",545636000,592041000,46405000,"8.50",
"1.08","Lingkungan Hidup",286813500,297363500,10550000,"3.68",
"1.08.1.20.08.00.15","Program Pengembangan Kinerja Pengelolaan Persampahan",286813500,297363500,10550000,"3.68",
"1.08.1.20.08.00.15.004","Peningkatan operasi dan pemeliharaan prasarana dan sarana persampahan",286813500,297363500,10550000,"3.68",
"1.08.1.20.08.00.15.011","Peningkatan peran serta masyarakat dalam pengelolaan persampahan",109160500,119710500,10550000,"9.66",
"1.13","Sosial",100381000,100381000,"0,00","0.00",
"1.13.1.20.08.00.22","Program Penanggulangan Kemiskinan",100381000,100381000,"0,00","0.00",
"1.13.1.20.08.00.22.015","Bimbingan teknis usaha untuk pedagang di pasar",100381000,100381000,"0,00","0.00",
"1.16","Penanaman Modal",34660000,34660000,"0,00","0.00",
