Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.15.01.00,,
Nama Organisasi,Dinas Perindustrian Perdagangan dan Koperasi,,
Kolom,4,,
Kode Rekening,Uraian,Jumlah,Keterangan
1.15.1.15.13.00.00.002.5,BELANJA DAERAH,12343834500,
1,URUSAN WAJIB,3664447000,
1.15,Koperasi dan Usaha Kecil Menengah,3664447000,
1.15.1.15.13.00.00.002.5.1,Belanja Tidak Langsung,3664447000,
1.15.1.15.13.00.00.002.5.1.1,Belanja Pegawai,3664447000,
1.15.1.15.13.00.00.002.5.2,Belanja Langsung,8679387500,
1,URUSAN WAJIB,5040367650,
1.15,Koperasi dan Usaha Kecil Menengah,3733441500,
1.15.1.15.13.00.01,Program Pelayanan Administrasi Perkantoran,774014000,
1.15.1.15.13.00.01.007,Penyediaan jasa administrasi keuangan,28800000,
1.15.1.15.13.00.01.007.5.2.1,Belanja Pegawai,28800000,
1.15.1.15.13.00.01.017,Penyediaan makanan dan minuman rapat,37742000,
1.15.1.15.13.00.01.017.5.2.2,Belanja Barang Dan Jasa,37742000,
1.15.1.15.13.00.01.018,Rapat-rapat Koordinasi dan konsultasi,58700000,
1.15.1.15.13.00.01.018.5.2.2,Belanja Barang Dan Jasa,58700000,
1.15.1.15.13.00.01.020,Penyediaan bahan dan jasa administrasi perkantoran,287395000,
1.15.1.15.13.00.01.020.5.2.1,Belanja Pegawai,5745000,
1.15.1.15.13.00.01.020.5.2.2,Belanja Barang Dan Jasa,280650000,
1.15.1.15.13.00.01.020.5.2.3,Belanja Modal,1000000,
1.15.1.15.13.00.01.023,Penyediaan jasa langganan,141500000,
1.15.1.15.13.00.01.023.5.2.2,Belanja Barang Dan Jasa,141500000,
1.15.1.15.13.00.01.024,Penyediaan jasa keamanan dan kebersihan kantor,219877000,
1.15.1.15.13.00.01.024.5.2.1,Belanja Pegawai,24514000,
1.15.1.15.13.00.01.024.5.2.2,Belanja Barang Dan Jasa,195363000,
1.15.1.15.13.00.02,Program peningkatan sarana dan prasarana aparatur,549210000,
1.15.1.15.13.00.02.022,Pemeliharaan rutin/berkala gedung kantor dan rumah dinas,265700000,
1.15.1.15.13.00.02.022.5.2.2,Belanja Barang Dan Jasa,135700000,
1.15.1.15.13.00.02.022.5.2.3,Belanja Modal,130000000,
1.15.1.15.13.00.02.024,Pemeliharaan rutin/berkala kendaraan dinas/operasional,275960000,
1.15.1.15.13.00.02.024.5.2.2,Belanja Barang Dan Jasa,275960000,
1.15.1.15.13.00.02.031,Pemeliharaan rutin/berkala perlengkapan dan peralatan gedung kantor dan rumah dinas,7550000,
1.15.1.15.13.00.02.031.5.2.2,Belanja Barang Dan Jasa,7550000,
