"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2015,,
"Kode Organisasi","2.01.01.",,
"Nama Organisasi","Dinas Pertanian",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"2.01.2.01.01.00.00.4.","Pendapatan",1300091545,
"2.01.2.01.01.00.00.4.1.","Pendapatan Asli Daerah",1300091545,
"2.01.2.01.01.00.00.4.1.2.","Hasil retribusi Daerah",1248751545,
"2.01.2.01.01.00.00.4.1.2.02.","Retribusi Jasa Usaha",1248751545,"Retribusi Jasa Usaha 1.248.751.545,00"
"2.01.2.01.01.00.00.4.1.4.","Lain-Lain Pendapatan Asli Daerah Yang Sah",51340000,
,"JUMLAH PENDAPATAN",1300091545,
"2.01.2.01.01.00.00.5.","Belanja",51271747496,
"2.01.2.01.01.00.00.5.1.","Belanja Tidak Langsung",20394254317,
"2.01.2.01.01.00.00.5.1.1.","Belanja Pegawai",20394254317,
"2.01.2.01.01.00.00.5.1.1.01.","Gaji Dan Tunjangan",20356791771,"Gaji Dan Tunjangan 20.356.791.771,00"
"2.01.2.01.01.00.00.5.1.1.05.","Biaya Insentif Retribusi Daerah",37462546,"Biaya Insentif Retribusi Daerah 37.462.546,00"
"2.01.2.01.01.00.00.5.2.","BELANJA LANGSUNG",30877493179,
"2.01.2.01.01.01.","PROGRAM PELAYANAN ADMINISTRASI PERKANTORAN",1970910816,
"2.01.2.01.01.02.","PROGRAM PENINGKATAN ASARANA DAN PRASARANA APARATUR",12511549988,
"2.01.2.01.01.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR",19559400,
"2.01.2.01.01.06.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",261671350,
"2.01.2.01.01.17.","PROGRAM PENINGKATAN PEMASARAN HASIL PRODUKSI PERTANIAN/PERKEBUNAN",1921494650,
"2.01.2.01.01.17.007.","Promosi Atas Hasil Produksi Pertanian/Perkebunan Unggulan Daerah",575000000,"Promosi Atas Hasil Produksi Pertanian/Perkebunan Unggulan Daerah 575.000.000,00"
"2.01.2.01.01.17.021.","Penyebarluasan Informasi Perbenihan",43895800,"Penyebarluasan Informasi Perbenihan 43.895.800,00"
"2.01.2.01.01.17.023.","Penanganan Pasca Panen dan Pengolahan Hasil Hortikultura",227269100,"Penanganan Pasca Panen dan Pengolahan Hasil Hortikultura 227.269.100,00"
"2.01.2.01.01.17.024.","Penanganan Pasca Panen dan Pengolahan Hasil Peternakan",78753100,"Penanganan Pasca Panen dan Pengolahan Hasil Peternakan 78.753.100,00"
"2.01.2.01.01.17.025.","Peningkatan Keamanan Pangan Asal Hewan",456150000,"Peningkatan Keamanan Pangan Asal Hewan 456.150.000,00"
"2.01.2.01.01.17.026.","Peningkatan Mutu dan Keamanan Pangan Produk Pertanian",117740000,"Peningkatan Mutu dan Keamanan Pangan Produk Pertanian 117.740.000,00"
"2.01.2.01.01.17.028.","Peningkatan Mutu Hasil Pertanian Standard Nasional Indonesia (TP, Hortikultura, Peternakan)",247686650,"Peningkatan Mutu Hasil Pertanian Standard Nasional Indonesia (TP, Hortikultura, Peternakan) 247.686.650,00"
"2.01.2.01.01.17.029.","Penerapan Sistem Jaminan Mutu Pangan Olahan Hasil Pertanian",100000000,"Penerapan Sistem Jaminan Mutu Pangan Olahan Hasil Pertanian 100.000.000,00"
"2.01.2.01.01.17.030.","Pengembangan Sistem Informasi Pasar",29500000,"Pengembangan Sistem Informasi Pasar 29.500.000,00"
"2.01.2.01.01.22.","PROGAM PENINGKATAN PRODUKSI HASIL PETERNAKAN",6868371900,
"2.01.2.01.01.22.012.","Pengembangan Ternak Kambing",214889300,"Pengembangan Ternak Kambing 214.889.300,00"
"2.01.2.01.01.22.013.","Pengembangan Ternak Sapi Perah",83962600,"Pengembangan Ternak Sapi Perah 83.962.600,00"
"2.01.2.01.01.22.014.","Pengembangan Ternak Sapi Potong",794740000,"Pengembangan Ternak Sapi Potong 794.740.000,00"
"2.01.2.01.01.22.016.","Pengembangan Ternak Unggas",150000000,"Pengembangan Ternak Unggas 150.000.000,00"
"2.01.2.01.01.22.019.","Pengembangan Produksi Semen Beku Sapi",1495320000,"Pengembangan Produksi Semen Beku Sapi 1.495.320.000,00"
"2.01.2.01.01.22.023.","Pengembangan Pembibitan Ternak",2695400000,"Pengembangan Pembibitan Ternak 2.695.400.000,00"
"2.01.2.01.01.22.025.","Penumbuhan HMT di Lahan Marginal",150000000,"Penumbuhan HMT di Lahan Marginal 150.000.000,00"
"2.01.2.01.01.22.026.","Pengulangan Penyakit Hewan Menular Strategis",306060000,"Pengulangan Penyakit Hewan Menular Strategis 306.060.000,00"
"2.01.2.01.01.22.027","Pemeliharaan Kesehatan dan Pencegahan Penyakit Menular Strategis (Pengujian Laboratoris)",554490000,"Pemeliharaan Kesehatan dan Pencegahan Penyakit Menular Strategis (Pengujian Laboratoris) 554.490.000,00"
"2.01.2.01.01.22.029.","Pengawasan Lalu Lintas Ternak",236170000,"Pengawasan Lalu Lintas Ternak 236.170.000,00"
"2.01.2.01.01.22.030.","Pengembangan Bibit HMT di UPTD BPBPTDK",187340000,"Pengembangan Bibit HMT di UPTD BPBPTDK 187.340.000,00"
"2.01.2.01.01.25.","PROGRAM PENINGKATAN KUALITAS S D M DAN KELEMBAGAAN PETANI",1340876650,
"2.01.2.01.01.25.007.","Diklat Agribisnis Peternakan",65000000,"Diklat Agribisnis Peternakan 65.000.000,00"
"2.01.2.01.01.25.015.","Pengkajian Diklat",2799700000,"Pengkajian Diklat 27.997.000,00"
"2.01.2.01.01.25.016.","Temu Teknis Teknologi Pertanian",40000000,"Temu Teknis Teknologi Pertanian 40.000.000,00"
"2.01.2.01.01.25.018.","Pelatihan Pengolahan Hasil Peternakan",73000000,"Pelatihan Pengolahan Hasil Peternakan 73.000.000,00"
"2.01.2.01.01.25.020.","Diklat Organik Farming",70000000,"Diklat Organik Farming 70.000.000,00"
"2.01.2.01.01.25.024.","Evaluasi Pasca Latihan Dan Bimbingan Lanjutan",40000000,"Evaluasi Pasca Latihan Dan Bimbingan Lanjutan 40.000.000,00"
"2.01.2.01.01.25.029.","Diklat Penangkaran Benih Padi, Bawang Merah, dan Buah-buahan Petani/Penangkar",104955050,"Diklat Penangkaran Benih Padi, Bawang Merah, dan Buah-buahan Petani/Penangkar 104.955.050,00"
"2.01.2.01.01.25.031.","Dukungan Praktek Lapangan dan Penggunaan Laboratorium",100000000,"Dukungan Praktek Lapangan dan Penggunaan Laboratorium 100.000.000,00"
"2.01.2.01.01.25.033.","Diklat Integrated Farming",70000000,"Diklat Integrated Farming 70.000.000,00"
"2.01.2.01.01.25.034.","Diklat Pemanfaatan Limbah Sebagai Energi Alternatif",69550000,"Diklat Pemanfaatan Limbah Sebagai Energi Alternatif 69.550.000,00"
"2.01.2.01.01.25.035.","Diklat Kewirausahaan bagi Generasi Muda",209099950,"Diklat Kewirausahaan bagi Generasi Muda 209.099.950,00"
"2.01.2.01.01.25.036.","Apresiasi Perencanaan Diklat",10000000,"Apresiasi Perencanaan Diklat 10.000.000,00"
"2.01.2.01.01.25.037.","Diklat dan Pengelolaan HMT",70000000,"Diklat dan Pengelolaan HMT 70.000.000,00"
"2.01.2.01.01.25.039.","Diklat Mitigasi dan Perubahan Iklim",70000000,"Diklat Mitigasi dan Perubahan Iklim 70.000.000,00"
"2.01.2.01.01.25.041.","Penguatan Kelembagaan Tingkat Usaha",139550050,"Penguatan Kelembagaan Tingkat Usaha 139.550.050,00"
"2.01.2.01.01.25.043.","Diklat Zoonosis",105000000,"Diklat Zoonosis 105.000.000,00"
"2.01.2.01.01.25.044.","Peningkatan Profesionalisme SDM Pertanian",76724600,"Peningkatan Profesionalisme SDM Pertanian 76.724.600,00"
"2.01.2.01.01.29.","PROGRAM PENINGKATAN PRODUKSI TANAMAN PANGAN",4176936825,
"2.01.2.01.01.29.001.","Peningkatan Pengelolaan Sumberdaya Air Wilayah Sungai dan Pengelolaan Irigasi Partisipastif (Pendampingan WISMP)",100000000,"Peningkatan Pengelolaan Sumberdaya Air Wilayah Sungai dan Pengelolaan Irigasi Partisipastif (Pendampingan WISMP)100.000.000,00"
"2.01.2.01.01.29.002.","Reklamasi dan Rehabilitasi Lahan Sawah",189607900,"Reklamasi dan Rehabilitasi Lahan Sawah189.607.900,00"
"2.01.2.01.01.29.003.","Pemberdayaan P3A dan Peningkatan Jaringan Irigasi Tersier",240000000,"Pemberdayaan P3A dan Peningkatan Jaringan Irigasi Tersier 200.000.000,00"
"2.01.2.01.01.29.004.","Penanganan Lahan Pertanian Berkelanjutan",268999900,"Penanganan Lahan Pertanian Berkelanjutan 268.999.900,00"
"2.01.2.01.01.29.007.","Pengembangan Padi erpadu",228276900,"Pengembangan Padi erpadu 228.276.900,00"
"2.01.2.01.01.29.008.","Pengembangan Alsin Tanaman Pangan",445500000,"Pengembangan Alsin Tanaman Pangan 445.500.000,00"
"2.01.2.01.01.29.010.","Identifikasi Padi Hitam",13855300,"Identifikasi Padi Hitam 13.855.300,00"
"2.01.2.01.01.29.011.","Pelayanan Sertifikasi Padi dan Palawija",66300000,"Pelayanan Sertifikasi Padi dan Palawija 66.300.000,00"
"2.01.2.01.01.29.013.","Pengembangan Perbenihan Tanaman Pangan",901069800,"Pengembangan Perbenihan Tanaman Pangan 901.069.800,00"
"2.01.2.01.01.29.014.","Perbanyakan Benih Sumber di Tingkat Petani",143102850,"Perbanyakan Benih Sumber di Tingkat Petani 143.102.850,00"
"2.01.2.01.01.29.015.","Penyediaan Benih dan Pengembangan Jabal Kedelai",186216800,"Penyediaan Benih dan Pengembangan Jabal Kedelai 186.216.800,00"
"2.01.2.01.01.29.016.","Dukungan Sarana Produksi Budidaya Ubi Kayu",106465400,"Dukungan Sarana Produksi Budidaya Ubi Kayu 106.465.400,00"
"2.01.2.01.01.29.022.","Bimbingan dan Dukungan Sarana Pengendalian OPT dan Brigade Proteksi",449697200,"Bimbingan dan Dukungan Sarana Pengendalian OPT dan Brigade Proteksi 449.697.400,00"
"2.01.2.01.01.29.023.","Pemberdayaan Petani Pemandu SLPHT",129552500,"Pemberdayaan Petani Pemandu SLPHT 129.552.500,00"
"2.01.2.01.01.29.024.","SLPHT Berkelanjutan",175000000,"SLPHT Berkelanjutan 175.000.000,00"
"2.01.2.01.01.29.027.","Analisa Standar dan Pengawasan Mutu Benih",82190000,"Analisa Standar dan Pengawasan Mutu Benih 82.190.000,00"
"2.01.2.01.01.29.030.","Peningkatan Pengelolaan Sumber Daya Air Wilayah Sungai dan Pengelolaan Irigasi Partisipasif (Loan WISMP)",129815075,"Peningkatan Pengelolaan Sumber Daya Air Wilayah Sungai dan Pengelolaan Irigasi Partisipasif (Loan WISMP) 129.815.075,00"
"2.01.2.01.01.29.031.","Obserasi dan Identifikasi Penyebaran Varietas Tanaman Pangan",36037200,"Obserasi dan Identifikasi Penyebaran Varietas Tanaman Pangan 36.037.200,00"
"2.01.2.01.01.29.032.","Pengembangan Tanaman Pangan Terpadu",70000000,"Pengembangan Tanaman Pangan Terpadu 70.000.000,00"
"2.01.2.01.01.29.033.","Pengamatan dan Analisa kehilangan Hasil Karena OPT Tanaman Pangan",25000000,"Pengamatan dan Analisa kehilangan Hasil Karena OPT Tanaman Pangan 25.000.000,00"
"2.01.2.01.01.29.034.","Penyusunan Rencana Kebutuhan Sarana Tanaman Pangan",200000000,"Penyusunan Rencana Kebutuhan Sarana Tanaman Pangan 200.000.000,00"
"2.01.2.01.01.30.","PROGRAM PENINGKATAN PRODUKSI HORTIKULTURA",1803726600,
"2.01.2.01.01.30.001.","Pengembangan GAP Hortikultura",128401200,"Pengembangan GAP Hortikultura 128.401.200,00"
"2.01.2.01.01.30.002.","Pengembangan Hortikultura Terpadu",69765300,"Pengembangan Hortikultura Terpadu 69.765.300,00"
"2.01.2.01.01.30.004.","Peningkatan Budidaya Holtikultura di Lahan Pekarangan",108802100,"Peningkatan Budidaya Holtikultura di Lahan Pekarangan 108.802.100,00"
"2.01.2.01.01.30.006.","Dukungan Pengelolaan Lahan dan Air untuk Pengembangan Buah Sayur dan Tanaman Obat",196675000,"Dukungan Pengelolaan Lahan dan Air untuk Pengembangan Buah Sayur dan Tanaman Obat 196.675.000,00"
"2.01.2.01.01.30.007.","Pengembangan Perbenihan Hortikultura",370509250,"Pengembangan Perbenihan Hortikultura 370.509.250,00"
"2.01.2.01.01.30.008.","Pengembangan Benih Sayuran di Tingkat Petani",60976600,"Pengembangan Benih Sayuran di Tingkat Petani 60.976.600,00"
"2.01.2.01.01.30.009.","Sosialisasi Pengelolaan Lahan Pekarangan",50000000,"Sosialisasi Pengelolaan Lahan Pekarangan 50.000.000,00"
"2.01.2.01.01.30.010.","Pengembangan Buah, Sayur, dan Biofarmaka",432621600,"Pengembangan Buah, Sayur, dan Biofarmaka 432.621.600,00"
"2.01.2.01.01.30.013.","Dukungan Sarana Pengendalian OPT dan Brigade Proteksi Hortikultura",99216500,"Dukungan Sarana Pengendalian OPT dan Brigade Proteksi Hortikultura 99.216.500,00"
"2.01.2.01.01.30.014.","Pengembangan Tanaman Hias",139617300,"Pengembangan Tanaman Hias 139.617.300,00"
"2.01.2.01.01.30.015.","Dukungan Sarana dan Prasarana Pengembangan Buah, Sayur dan Biofarmaka",147141750,"Dukungan Sarana dan Prasarana Pengembangan Buah, Sayur dan Biofarmaka 147.141.750,00"
,"JUMLAH BELANJA",51271747496,
