Judul; Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;;;
Kode Organisasi;1.06.01;;
Nama Organisasi;Badan Perencanaan Pembangunan Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.06.1.06.01.01.13.5.2.1.02;Honorarium Non PNS;2400000;
1.06.1.06.01.01.13.5.2.1.02.03;Honorarium Tenaga Teknis  Harian;2400000;Honorarium Tenaga Teknis  Harian 2.400.000
1.06.1.06.01.01.13.5.2.2;BELANJA BARANG DAN JASA;35175000;
1.06.1.06.01.01.13.5.2.2.02;Belanja Bahan/Material;35175000;
1.06.1.06.01.01.13.5.2.2.02.07;Belanja Bahan Komputer ;35175000;Belanja Bahan Komputer 35.175.000
1.06.1.06.01.01.13.5.2.3;BELANJA MODAL;975000;
1.06.1.06.01.01.13.5.2.3.12;Belanja Modal Pengadaan Komputer;975000;
1.06.1.06.01.01.13.5.2.3.12.08;Belanja Modal Pengadaan UPS/Stabilizier;975000;Belanja Modal Pengadaan UPS/Stabilizier 975.000
1.06.1.06.01.01.14;Penyediaan peralatan rumah tangga;17300000;
1.06.1.06.01.01.14.5.2.1;BELANJA PEGAWAI;400000;
1.06.1.06.01.01.14.5.2.1.02;Honorarium Non PNS;400000;
1.06.1.06.01.01.14.5.2.1.02.03;Honorarium Tenaga Teknis  Harian;400000;Honorarium Tenaga Teknis  Harian 400.000
1.06.1.06.01.01.14.5.2.2;BELANJA BARANG DAN JASA;16900000;
1.06.1.06.01.01.14.5.2.2.02;Belanja Bahan/Material;2500000;
1.06.1.06.01.01.14.5.2.2.02.02;Belanja Bahan/Bibit Tanaman;2500000;Belanja Bahan/Bibit Tanaman 2.500.000
1.06.1.06.01.01.14.5.2.2.10;Belanja Sewa Perlengkapan dan Peralatan Kantor;14400000;
1.06.1.06.01.01.14.5.2.2.10.10;Belanja Sewa Tanaman;14400000;Belanja Sewa Tanaman 14.400.000
1.06.1.06.01.01.15;Penyediaan bahan bacaan dan peraturan perundang-undangan;4800000;
1.06.1.06.01.01.15.5.2.2;BELANJA BARANG DAN JASA;4800000;
1.06.1.06.01.01.15.5.2.2.02;Belanja Bahan/Material;500000;
1.06.1.06.01.01.15.5.2.2.02.06;Belanja Bahan Perpustakaan;500000;Belanja Bahan Perpustakaan 500.000
1.06.1.06.01.01.15.5.2.2.03;Belanja Jasa Kantor;4300000;
1.06.1.06.01.01.15.5.2.2.03.05;Belanja Surat Kabar/Majalah;4300000;Belanja Surat Kabar/Majalah 4.300.000
1.06.1.06.01.01.17;Penyediaan makanan dan minuman;59526000;
1.06.1.06.01.01.17.5.2.2;BELANJA BARANG DAN JASA;59526000;
1.06.1.06.01.01.17.5.2.2.11;Belanja Makanan Dan Minuman;59526000;
1.06.1.06.01.01.17.5.2.2.11.01;Belanja Makanan Dan Minuman Pegawai;12826000;Belanja Makanan Dan Minuman Pegawai 12.826.000
1.06.1.06.01.01.17.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;20000000;Belanja Makanan Dan Minuman Rapat 20.000.000
1.06.1.06.01.01.17.5.2.2.11.03;Belanja Makanan Dan Minuman Tamu;26700000;Belanja Makanan Dan Minuman Tamu 26.700.000
1.06.1.06.01.01.18;Rapat-rapat koordinasi dan konsultasi keluar daerah;315400000;
1.06.1.06.01.01.18.5.2.2;BELANJA BARANG DAN JASA;315400000;
1.06.1.06.01.01.18.5.2.2.15;Belanja Perjalanan Dinas;315400000;
1.06.1.06.01.01.18.5.2.2.15.02;Belanja Perjalanan Dinas Luar Daerah;315400000;Belanja Perjalanan Dinas Luar Daerah 315.400.000
1.06.1.06.01.01.19;Penyediaan Jasa Tenaga Bantuan;23466000;
1.06.1.06.01.01.19.5.2.1;BELANJA PEGAWAI;23466000;
1.06.1.06.01.01.19.5.2.1.02;Honorarium Non PNS;23466000;
1.06.1.06.01.01.19.5.2.1.02.02;Honorarium Pegawai Honorer/Tidak Tetap;23466000;Honorarium Pegawai Honorer/Tidak Tetap 23.466.000
1.06.1.06.01.02.00;Program Peningkatan Sarana dan Prasarana Aparatur;197764000;
1.06.1.06.01.02.03;Pemeliharaan rutin/berkala gedung kantor;81860000;
1.06.1.06.01.02.03.5.2.1;BELANJA PEGAWAI;6600000;
1.06.1.06.01.02.03.5.2.1.01;Honorarium PNS;600000;
1.06.1.06.01.02.03.5.2.1.01.02;Honorarium Tim Pengadaan Barang/Jasa;600000;Honorarium Tim Pengadaan Barang/Jasa 600.000
1.06.1.06.01.02.03.5.2.1.02;Honorarium Non PNS;6000000;
1.06.1.06.01.02.03.5.2.1.02.03;Honorarium Tenaga Teknis  Harian;6000000;Honorarium Tenaga Teknis  Harian 6.000.000
1.06.1.06.01.02.03.5.2.2;BELANJA BARANG DAN JASA;10260000;
1.06.1.06.01.02.03.5.2.2.02;Belanja Bahan/Material;10260000;
1.06.1.06.01.02.03.5.2.2.02.01;Belanja Bahan Baku Bangunan;10260000;Belanja Bahan Baku Bangunan 10.260.000
