Judul,REALISASIAPBD,,,,,,
Daerah,PROVINSI,,,,,,
Tahun,2014,,,,,,
KodeOrganisasi,1.13.01–DINASSOSIAL,,,,,,
Kolom,8,,,,,,
,,,,,,,
NOREKENING,URAIAN,PEGAWAI,BARANG&JASA,MODAL,JUMLAH,Rp,(%)
1.13.1.13.01.01.16.07,PeningkatanKualitasPelayananSaranadanPrasaranaRehabilitasiKesejahteraanSosialBagiPMKS,3750000,102500000,,106250000,,
,,,,,,(1,512,000.00),98.58
,,,,,,,
,,3750000,100988000,,104738000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.16.15,FasilitasiAnakYatimPiatu,19030000,769970000,,789000000,,
,,,,,,(7,413,750.00),99.06
,,19030000,762556250,,781586250,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.16.16,Pemberdayaanlanjutusiapotensial,760000,41740000,,42500000,,
,,,,,,0.00,100.00
,,760000,41740000,,42500000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.16.22,PenangananJenazahTerlantar,930000,33070000,,34000000,,
,,,,,,(8,300,000.00),75.59
,,930000,24770000,,25700000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.16.23,PelatihanKeterampilandanPraktekBelajarKerjabagiAnakTerlantar,1240000,53760000,,55000000,,
,,,,,,(1,413,500.00),97.43
,,1240000,52346500,,53586500,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.16.24,PelayanandanPenangananAnakPutusSekolahdanAnakberhadapandenganhukum,720000,14280000,,15000000,,
,,,,,,(1,710,000.00),88.60
,,,,,,,
,,720000,12570000,,13290000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.16.25,KoordinasiPerumusanKebijakandanSinkronisasiPelaksanaanPenangananPermasalahanLansia,6600000,78400000,,85000000,,
,,,,,,(3,181,120.00),96.26
,,,,,,,
,,6600000,75218880,,81818880,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.18,ProgramPembinaanParaPenyandangCacatdanTrauma,8880000,137870000,,146750000,,
,,,,,,(4,580,150.00),96.88
,,8615000,133554850,,142169850,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.18.04,PendayagunaanParaPenyandangCacatdanEksTrauma,2180000,51570000,,53750000,,
,,,,,,(3,396,650.00),93.68
,,1915000,48438350,,50353350,,
,,,,,,,
1.13.1.13.01.01.18.06,PendampinganProgramNasionalJaminanSosialbagiPenyandangCacatBeratdanJSLU,4800000,48200000,,53000000,,
,,,,,,(420,000.00),99.21
,,,,,,,
,,4800000,47780000,,52580000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.18.07,RehabilitasiSaranadandanPrasaranabagiPenyandangDisabilitas,1900000,38100000,,40000000,,
,,,,,,(763,500.00),98.09
,,1900000,37336500,,39236500,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.20,ProgramPembinaanEksPenyandangPenyakitSosial(EksNarapidanaPSKNarkobadanPenyakitSosialLainnya),4770000,159230000,,164000000,,
,,,,,,(3,908,000.00),97.62
,,,,,,,
,,4770000,155322000,,160092000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.20.06,PenjaringanKerjapenanganananjalgepengdanpenyakitsosiallainnya,1890000,63110000,,65000000,,
,,,,,,(633,000.00),99.03
,,1890000,62477000,,64367000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.20.07,PemberdayaanPMKS,2880000,96120000,,99000000,,
,,,,,,(3,275,000.00),96.69
,,2880000,92845000,,95725000,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.21,ProgramPemberdayaanKelembagaanKesejahteraanSosial,14685000,176495000,,191180000,,
,,,,,,(873,575.00),95.78
,,14685000,168421425,,183106425,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.21.03,PeningkatanKualitasSDMKesejahteraanSosialMasyarakat,11655000,114525000,,126180000,,
,,,,,,(873,575.00),93.60
,,11655000,106451425,,118106425,,
,,,,,,,
,,,,,,,
1.13.1.13.01.01.21.19,PeningkatanKualitasKesetiakawananSosialNasional,3030000,61970000,,65000000,,
,,,,,,0.00,100.00
,,3030000,61970000,,65000000,,
,,,,,,,
,,,,,,,
1.18,KepemudaandanOlahRaga,8445000,126555000,,135000000,,
,,,,,,(9,372,580.00),93.06
,,8445000,117182420,,125627420,,
,,,,,,,
,,,,,,,
1.18.1.13.01,DinasSosial,8445000,126555000,,135000000,,
,,,,,,(9,372,580.00),93.06
,,8445000,117182420,,125627420,,
,,,,,,,
,,,,,,,
1.18.1.13.01.01,DinasSosial,8445000,126555000,,135000000,,
,,,,,,(9,372,580.00),93.06
,,8445000,117182420,,125627420,,
,,,,,,,
,,,,,,,
1.18.1.13.01.01.16,ProgramPeningkatanPeranSertaKepemudaan,8445000,126555000,,135000000,,
,,,,,,(9,372,580.00),93.06
,,8445000,117182420,,125627420,,
,,,,,,,
,,,,,,,
1.18.1.13.01.01.16.11,PeningkatanKapasitasKepemudaan,8445000,126555000,,135000000,,
,,,,,,(9,372,580.00),93.06
,,8445000,117182420,,125627420,,
,,,,,,,
,,,,,,,
1.19,KesatuanBangsadanPolitikDalamNegeri,77770000,2143722000,22450000,2243942000,,
,,,,,,(74,419,650.00),96.68
,,75910000,2071212350,22400000,2169522350,,
,,,,,,,
1.19.1.13.01,DinasSosial,77770000,2143722000,22450000,2243942000,,
,,,,,,(74,419,650.00),96.68
,,75910000,2071212350,22400000,2169522350,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01,DinasSosial,77770000,2143722000,22450000,2243942000,,
,,,,,,(74,419,650.00),96.68
,,75910000,2071212350,22400000,2169522350,,
,,,,,,,
,,,,,,,
1.19.1.13.01.01.18,ProgramKemitraanPengembanganWawasanKebangsaan,67680000,2035262000,6500000,2109442000,,
,,,,,,(70,754,650.00),96.65
,,65820000,1966417350,6450000,2038687350,,
,,,,,,,
,,,,,,,
