Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Kulon Progo,,
Tahun,2016,,
Kode Organisasi,2.04.01,,
Nama Organisasi,Dinas Pariwisata Pemuda dan Olah Raga,,
Kolom,4,,
No. Rekening,Uraian,Jumah,Keterangan
2.04 . 2.04.01 . 18 . 14,Pengelolaan Data dan Informasi Atraksi Wisata,"39899850,00",
2.04 . 2.04.01 . 18 . 14 . 5 . 2 . 1,Belanja Pegawai,"4575000,00",
2.04 . 2.04.01 . 18 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,"35324850,00",
2.04 . 2.04.01 . 18 . 15,"Pengembangan jaringan kerjasama Pemasaran, Promosi dan Edukasi Pariwisata","133828900,00",
2.04 . 2.04.01 . 18 . 15 . 5 . 2 . 1,Belanja Pegawai,"11750000,00",
2.04 . 2.04.01 . 18 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,"122078900,00",
2.04 . 2.04.01 . 18 . 16,Pelaksanaan pemasaran dan promosi pariwisata,"161977675,00",
2.04 . 2.04.01 . 18 . 16 . 5 . 2 . 1,Belanja Pegawai,"3480000,00",
2.04 . 2.04.01 . 18 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,"158497675,00",
2.04 . 2.04.01 . 18 . 17,Pengelolaan retribusi wisata,"684094005,00",
2.04 . 2.04.01 . 18 . 17 . 5 . 2 . 1,Belanja Pegawai,"17858000,00",
2.04 . 2.04.01 . 18 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,"666236005,00",
2.04 . 2.04.01 . 18 . 18,Pemberdayaan masyarakat dalam pengembangan pariwisata,"33555000,00",
2.04 . 2.04.01 . 18 . 18 . 5 . 2 . 1,Belanja Pegawai,"10980000,00",
2.04 . 2.04.01 . 18 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,"22575000,00",
1.18 . 2.04.01 . 20,Program Pembinaan dan Pemasyarakatan Olah Raga,"124922575,00",
1.18 . 2.04.01 . 20 . 05,Peningkatan Kesegaran Jasmani dan Rekreasi,"99943200,00",
1.18 . 2.04.01 . 20 . 05 . 5 . 2 . 1,Belanja Pegawai,"25754000,00",
1.18 . 2.04.01 . 20 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,"74189200,00",
1.18 . 2.04.01 . 20 . 30,"Pemasyarakatan olah raga bagi pelajar, mahasiswa dan masyarakat","24979375,00",
1.18 . 2.04.01 . 20 . 30 . 5 . 2 . 1,Belanja Pegawai,"7240000,00",
1.18 . 2.04.01 . 20 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,"17739375,00",
1.18 . 2.04.01 . 21,Program Peningkatan Sarana dan Prasarana Olah Raga,"317352725,00",
1.18 . 2.04.01 . 21 . 08,Pemeliharaan Sarana dan Prasarana Olahraga,"121119900,00",
1.18 . 2.04.01 . 21 . 08 . 5 . 2 . 1,Belanja Pegawai,"925000,00",
1.18 . 2.04.01 . 21 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,"120194900,00",
1.18 . 2.04.01 . 21 . 09,Pengadaan peralatan olah raga,"149655875,00",
1.18 . 2.04.01 . 21 . 09 . 5 . 2 . 1,Belanja Pegawai,"6025000,00",
1.18 . 2.04.01 . 21 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,"143630875,00",
1.18 . 2.04.01 . 21 . 11,Peningkatan pembangunan sarana dan prasarana olahraga,"46576950,00",
1.18 . 2.04.01 . 21 . 11 . 5 . 2 . 1,Belanja Pegawai,"675000,00",
1.18 . 2.04.01 . 21 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,"3621950,00",
1.18 . 2.04.01 . 21 . 11 . 5 . 2 . 3,Belanja Modal,"42280000,00",
,SURPLUS / (DEFISIT),"-3488573861,00",
