"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2016,,
"Kode Organisasi","1.15.01.",,
"Nama Organisasi","Dinas Perindustrian, Perdagangan, Koperasi Dan UKM",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"2.06.2.06.01.00.00.4.","Pendapatan",335920000,
"2.06.2.06.01.00.00.4.1.","Pendapatan Asli Daerah",335920000,
"2.06.2.06.01.00.00.4.1.2.","Hasil Retribusi Daerah",335920000,
,"JUMLAH PENDAPATAN",335920000,
"2.06.2.06.01.00.00.5.","Belanja",31091751025,
"2.06.2.06.01.00.00.5.1.","Belanja Tidak Langsung",14157613303,
"2.06.2.06.01.00.00.5.1.1.","Belanja Pegawai",14157613303,
"2.06.2.06.01.00.00.5.1.1.01.","Gaji Dan Tunjangan",14157613303,"Gaji Dan Tunjangan 14.157.613.303,00"
"2.06.2.06.01.00.00.5.2.","BELANJA LANGSUNG",16934137722,
"2.06.2.06.01.01.","PROGRAM PELAYANAN ADMINISTRASI PERKANTORAN",2293761500,
"2.06.2.06.01.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA",1472628822,
"2.06.2.06.01.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR ",30000000,
"2.06.2.06.01.07.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",336999700,
"2.06.2.06.01.15.","PROGRAM PERLINDUNGAN KONSUMEN DAN PENGEAMANAN PERDAGANGAN",1025000000,
"2.06.2.06.01.15.021.","Pengawasan dan Penyuluhan Kemetrologian ",325000000,"Pengawasan dan Penyuluhan Kemetrologian  325.000.000,00"
"2.06.2.06.01.15.027.","Perlindungan Pasar Domestik",700000000,"Perlindungan Pasar Domestik 700.000.000,00"
"2.06.2.06.01.17.","PROGRAM PENINGKATAN DAN PENGEMBANGAN EKSPOR",3618635500,
"2.06.2.06.01.17.038.","Kerjasama dan Pemasaran Produk Ekspor",3618635000,"Kerjasama dan Pemasaran Produk Ekspor 3.618.635.000,00"
"2.06.2.06.01.21.","PROGRAM PENINGKATAN PERDAGANGAN DALAM NEGERI",2241510000,
"2.06.2.06.01.21.001.","Pengelolaan dan pelayanan HAKI",341611500,"Pengelolaan dan pelayanan HAKI 341.611.500,00"
"2.06.2.06.01.21.002.","Pebinaan dan Pengembangan Perdagangan Dalam Negeri",1596300900,"Pebinaan dan Pengembangan Perdagangan Dalam Negeri 1.596.300.900,00"
"2.06.2.06.01.21.003.","Pelayanan Pengembangan Bisnis",303597600,"Pelayanan Pengembangan Bisnis 303.597.600,00"
"2.07.2.06.01.16.","PROGRAM PENGEMBANGAN INDUSTRI KECIL DAN MENENGAH",2744223800,
"2.07.2.06.01.16.129.","Peningkatan Produksi IKM Logam Sandang dan Aneka",1336602500," 1.336.602.500,00"
"2.07.2.06.01.16.130.","Peningkatan Produksi IKM Agro dan Kimia",880160000," Peningkatan Produksi IKM Agro dan Kimia 88.160.000,00"
"2.07.2.06.01.16.131.","Peningkatan Kualitas Produk IKM Logam Sandang dan Aneka",155000000,"Peningkatan Kualitas Produk IKM Logam Sandang dan Aneka 155.000.000,00"
"2.07.2.06.01.16.132.","Peningkatan Kualitas Produk IKM Agro dan Kimia",372461300,"Peningkatan Kualitas Produk IKM Agro dan Kimia 372.461.300,00"
"2.07.2.06.01.17.","PROGRAM PENINGKATAN KEMAMPUAN TEKNOLOGI INDUSTRI",,
"2.07.2.06.01.17.001.","Pembinaan Kemampuan Teknologi Industri",1332378400,"Pembinaan Kemampuan Teknologi Industri 1.332.378.400,00"
"2.07.2.06.01.20.","PROGRAM PEMBINAAN DAN PENGEMBANGAN INDUSTRI KREATIF",1839000000,
"2.07.2.06.01.20.021.","Pengembangan Industri Kreatif",1839000000,"Pengembangan Industri Kreatif 1.889.000.000,00"
,"JUMLAH BELANJA",31091751025,
