Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kota Yogyakarta,,
Tahun,2015,,
Kode Organisasi,1.06.01,,
Nama Organisasi,Badan Perencanaan Pembangunan Daerah,,
Kolom,4,,
Kode Rekening,Uraian,Jumlah,Keterangan
1.06.01 ,Badan Perencanaan Pembangunan Daerah,"10494114863,00",
1.06.1.06.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"2564721697,00",
1.06.1.06.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"2564721697,00",
1.06.1.06.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"2564721697,00",
1.06.1.06.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"1932941345,00",Gaji Pokok PNS/Uang Representasi (DAU) 1932941345
1.06.1.06.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"183224451,00",Tunjangan Keluarga (DAU) 183224451
1.06.1.06.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,"175157125,00",Tunjangan Jabatan Struktural (DAU) 175157125
1.06.1.06.01.000.000.5.1.1.01.04 ,Tunjangan Jabatan Fungsional (DAU) ,"28355600,00",Tunjangan Jabatan Fungsional (DAU) 28355600
1.06.1.06.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,"68823625,00",Tunjangan Fungsional Umum (DAU) 68823625
1.06.1.06.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,"129736857,00",Tunjangan Beras (DAU) 129736857
1.06.1.06.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,"46445508,00",Tunjangan  PPh/Tunjangan Khusus (DAU) 46445508
1.06.1.06.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,"37186,00",Pembulatan Gaji (DAU) 37186
1.06.1.06.01.000.000.5.2 ,BELANJA LANGSUNG ,"7929393166,00",
1.06.1.06.01.001.000.5.2 ,Program Pelayanan Administrasi Perkantoran ,"691142684,00",
1.06.1.06.01.001.001.5.2 ,Penyediaan jasa surat menyurat ,"4750000,00",
1.06.1.06.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,"4750000,00",
1.06.1.06.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"4200000,00",
1.06.1.06.01.001.001.5.2.2.01.04 ,"Belanja Perangko, Materai, dan Benda Pos ","4200000,00","Belanja Perangko, Materai, dan Benda Pos 4200000"
1.06.1.06.01.001.001.5.2.2.03 ,Belanja Jasa Kantor ,"550000,00",
1.06.1.06.01.001.001.5.2.2.03.07 ,Belanja Paket/Pengiriman ,"550000,00",Belanja Paket/Pengiriman 550000
1.06.1.06.01.001.006.5.2 ,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasinoal ,"6850000,00",
1.06.1.06.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,"6850000,00",
1.06.1.06.01.001.006.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,"6850000,00",
1.06.1.06.01.001.006.5.2.2.05.05 ,Belanja STNK ,"6850000,00",Belanja STNK 6850000
1.06.1.06.01.001.007.5.2 ,Penyediaan jasa administrasi keuangan ,"45900000,00",
1.06.1.06.01.001.007.5.2.1 ,BELANJA PEGAWAI ,"45900000,00",
1.06.1.06.01.001.007.5.2.1.01 ,Honorarium PNS ,"45900000,00",
1.06.1.06.01.001.007.5.2.1.01.04 ,Honorarium Pengelola Keuangan/Barang ,"45900000,00",Honorarium Pengelola Keuangan/Barang 45900000
1.06.1.06.01.001.008.5.2 ,Penyediaan jasa kebersihan kantor ,"73842000,00",
1.06.1.06.01.001.008.5.2.1 ,BELANJA PEGAWAI ,"250000,00",
1.06.1.06.01.001.008.5.2.1.01 ,Honorarium PNS ,"250000,00",
1.06.1.06.01.001.008.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"250000,00",Honorarium Tim Pengadaan Barang dan Jasa 250000
1.06.1.06.01.001.008.5.2.2 ,BELANJA BARANG DAN JASA ,"73592000,00",
1.06.1.06.01.001.008.5.2.2.01 ,Belanja Bahan Pakai Habis ,"10871000,00",
1.06.1.06.01.001.008.5.2.2.01.05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,"10871000,00",Belanja Peralatan Kebersihan Dan Bahan Pembersih 10871000
1.06.1.06.01.001.008.5.2.2.20 ,Belanja Pemeliharaan ,"62721000,00",
1.06.1.06.01.001.008.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,"62721000,00",Belanja Pemeliharaan Kebersihan 62721000
1.06.1.06.01.001.009.5.2 ,Penyediaan jasa perbaikan peralatan kerja ,"33125000,00",
1.06.1.06.01.001.009.5.2.2 ,BELANJA BARANG DAN JASA ,"33125000,00",
1.06.1.06.01.001.009.5.2.2.20 ,Belanja Pemeliharaan ,"33125000,00",
1.06.1.06.01.001.009.5.2.2.20.04 ,Belanja Pemeliharaan Peralatan Dan Perlengkapan Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ,"33125000,00",Belanja Pemeliharaan Peralatan Dan Perlengkapan Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio 33125000
1.06.1.06.01.001.010.5.2 ,Penyediaan alat tulis kantor ,"47786750,00",
1.06.1.06.01.001.010.5.2.1 ,BELANJA PEGAWAI ,"2250000,00",
1.06.1.06.01.001.010.5.2.1.01 ,Honorarium PNS ,"2250000,00",
1.06.1.06.01.001.010.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"2250000,00",Honorarium Panitia Pelaksana Kegiatan 2250000
