Judul;BAPPEDA;;;
Kode  ORGANISASI : ;1.06.01;;;
tahun;2016;;;
kabupaten;kota;;;
;;;;
;;;;
No rekening;Uraian;anggaran;penjelasan;
1.06.1.06.01.001.012.5.2.2 ;BELANJA BARANG DAN JASA ;5404500;;
1.06.1.06.01.001.012.5.2.2.01 ;Belanja Bahan Pakai Habis ;5404500;;
1.06.1.06.01.001.012.5.2.2.01.03 ;Belanja Alat Listrik Dan Elektronik ;5404000;Belanja Alat Listrik Dan Elektronik 5404500;
1.06.1.06.01.001.013 ;Penyediaan Peralatan dan Perlengkapan Kantor ;28125000;;
1.06.1.06.01.001.013.5.2.2 ;BELANJA BARANG DAN JASA ;28125000;;
1.06.1.06.01.001.013.5.2.2.02 ;Belanja Bahan/Material ;25125000;;
1.06.1.06.01.001.013.5.2.2.02.06 ;Belanja Bahan Komputer/Printer ;25125000;Belanja Bahan Komputer/Printer 25125000;
1.06.1.06.01.001.013.5.2.2.20 ;Belanja Pemeliharaan ;3000000;;
1.06.1.06.01.001.013.5.2.2.20.11 ;Belanja Pemeliharaan Komputer ;3000000;Belanja Pemeliharaan Komputer 3000000;
1.06.1.06.01.001.014 ;Penyediaan Peralatan Rumah Tangga ;14400000;;
1.06.1.06.01.001.014.5.2.2 ;BELANJA BARANG DAN JASA ;14400000;;
1.06.1.06.01.001.014.5.2.2.10 ;Belanja Sewa Perlengkapan dan Peralatan Kantor ;14400000;;
1.06.1.06.01.001.014.5.2.2.10.09 ;Belanja Sewa Perlengkapan/Peralatan ;14400000;Belanja Sewa Perlengkapan/Peralatan 14400000;
1.06.1.06.01.001.015 ;Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan ;6280000;;
1.06.1.06.01.001.015.5.2.2 ;BELANJA BARANG DAN JASA ;6280000;;
1.06.1.06.01.001.015.5.2.2.03 ;Belanja Jasa Kantor ;6280000;;
1.06.1.06.01.001.015.5.2.2.03.05 ;Belanja Surat Kabar/Majalah ;6280000;Belanja Surat Kabar/Majalah 6280000;
1.06.1.06.01.001.017 ;Penyediaan Makanan dan Minuman ;79020000;;
1.06.1.06.01.001.017.5.2.2 ;BELANJA BARANG DAN JASA ;79020000;;
1.06.1.06.01.001.017.5.2.2.11 ;Belanja Makanan Dan Minuman ;79020000;;
1.06.1.06.01.001.017.5.2.2.11.01 ;Belanja Makanan Dan Minuman Pegawai ;22000000;Belanja Makanan Dan Minuman Pegawai 22000000;
1.06.1.06.01.001.017.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;31330000;Belanja Makanan Dan Minuman Rapat 31330000;
1.06.1.06.01.001.017.5.2.2.11.03 ;Belanja Makanan Dan Minuman Tamu ;25690000;Belanja Makanan Dan Minuman Tamu 25690000;
1.06.1.06.01.001.018 ;Rapat-rapat Koordinasi dan Konsultasi Keluar Daerah ;228800000;;
1.06.1.06.01.001.018.5.2.2 ;BELANJA BARANG DAN JASA ;228800000;;
1.06.1.06.01.001.018.5.2.2.15 ;Belanja Perjalanan Dinas ;228800000;;
1.06.1.06.01.001.018.5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;288800000;Belanja Perjalanan Dinas Luar Daerah 228800000;
1.06.1.06.01.001.019 ;Penyediaan Jasa Tenaga Bantuan ;21053409;;
1.06.1.06.01.001.019.5.2.1 ;BELANJA PEGAWAI ;21053409;;
1.06.1.06.01.001.019.5.2.1.02 ;Honorarium Non PNS ;21053409;;
1.06.1.06.01.001.019.5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;21053409;Honorarium Pegawai Honorer/Tidak Tetap 21053409;
1.06.1.06.01.002 ;Program Peningkatan Sarana dan Prasarana Aparatur ;213038000;;
1.06.1.06.01.002.022 ;Pemeliharaan Rutin/Berkala Gedung Kantor ;96450000;;
1.06.1.06.01.002.022.5.2.1 ;BELANJA PEGAWAI ;650000;;
1.06.1.06.01.002.022.5.2.1.01 ;Honorarium PNS ;650000;;
1.06.1.06.01.002.022.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;650000;Honorarium Tim Pengadaan Barang dan Jasa 650000;
1.06.1.06.01.002.022.5.2.2 ;BELANJA BARANG DAN JASA ;31000000;;
1.06.1.06.01.002.022.5.2.2.20 ;Belanja Pemeliharaan ;25000000;;
1.06.1.06.01.002.022.5.2.2.20.03 ;Belanja Pemeliharaan Bangunan Pemerintah ;25000000;Belanja Pemeliharaan Bangunan Pemerintah 25000000;
1.06.1.06.01.002.022.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;6000000;;
1.06.1.06.01.002.022.5.2.2.31.01 ;Belanja Jasa Tenaga Ahli ;6000000;Belanja Jasa Tenaga Ahli 6000000;
1.06.1.06.01.002.022.5.2.3 ;BELANJA MODAL ;64800000;;
1.06.1.06.01.002.022.5.2.3.11 ;Belanja Modal Pengadaan Perlengkapan Kantor ;64800000;;
1.06.1.06.01.002.022.5.2.3.11.02 ;Belanja Modal Pengadaan Almari ;64800000;Belanja Modal Pengadaan Almari 64800000;
1.06.1.06.01.002.024 ;Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ;116588000;;
1.06.1.06.01.002.024.5.2.2 ;BELANJA BARANG DAN JASA ;116588000;;
1.06.1.06.01.002.024.5.2.2.05 ;Belanja Perawatan Kendaraan Bermotor ;116588000;;
1.06.1.06.01.002.024.5.2.2.05.01 ;Belanja Jasa Service ;14700000;Belanja Jasa Service 14700000;
1.06.1.06.01.002.024.5.2.2.05.02 ;Belanja  Penggantian Suku Cadang ;27950000;Belanja  Penggantian Suku Cadang 27950000;
1.06.1.06.01.002.024.5.2.2.05.03 ;Belanja Bahan Bakar Minyak/Gas Dan Pelumas ;73938000;Belanja Bahan Bakar Minyak/Gas Dan Pelumas 73938000;
1.06.1.06.01.005 ;Program Peningkatan Kapasitas Sumber Daya Aparatur ;31500000;;
1.06.1.06.01.005.001 ;Pendidikan dan Pelatihan Formal ;31500000;;
1.06.1.06.01.005.001.5.2.2 ;BELANJA BARANG DAN JASA ;31500000;;
1.06.1.06.01.005.001.5.2.2.17 ;Belanja Kursus, Pelatihan, Sosialisasi Dan Bimbingan Teknis PNS ;31500000;;
1.06.1.06.01.005.001.5.2.2.17.01 ;Belanja Kursus-Kursus Singkat/Pelatihan ;31500000;Belanja Kursus-Kursus Singkat/Pelatihan 31500000;
1.06.1.06.01.006 ;Program Peningkatan Pengembangan Sistem Pelaporan Capaian Kinerja dan ;30430000;;
1.06.1.06.01.006.001 ;Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD ;30430000;;
1.06.1.06.01.006.001.5.2.1 ;BELANJA PEGAWAI ;18600000;;
1.06.1.06.01.006.001.5.2.1.01 ;Honorarium PNS ;18600000;;
1.06.1.06.01.006.001.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;18600000;Honorarium Panitia Pelaksana Kegiatan 18600000;
1.06.1.06.01.006.001.5.2.2 ;BELANJA BARANG DAN JASA ;11830000;;
1.06.1.06.01.006.001.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;5240000;;
1.06.1.06.01.006.001.5.2.2.06.01 ;Belanja Cetak ;2500000;Belanja Cetak 2500000;
1.06.1.06.01.006.001.5.2.2.06.02 ;Belanja Penggandaan ;2640000;Belanja Penggandaan 2640000;
1.06.1.06.01.006.001.5.2.2.11 ;Belanja Makanan Dan Minuman ;6690000;;
1.06.1.06.01.006.001.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;6690000;Belanja Makanan Dan Minuman Rapat 6690000;
1.06.1.06.01.042 ;Program Perencanaan Pembangunan Daerah ;1892573450;;
1.06.1.06.01.042.001 ;Penyusunan Dokumen Perencanaan Pembangunan Daerah ;500903450;;
1.06.1.06.01.042.001.5.2.1 ;BELANJA PEGAWAI ;229900000;;
1.06.1.06.01.042.001.5.2.1.01 ;Honorarium PNS ;211275000;;
