Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Gunungkidul,,
tahun ,2016,,
Kode Organisasi,0,,
Nama Organisasi,Kabupaten Gunungkidul,,
Kolom,3,,
Kode Rekening,Uraian,jumlah,Keterangan
4,PENDAPATAN ,1739998448710.19,
"4,1, ",PENDAPATAN ASLI DAERAH ,172352153315.38,
"4,1,1, ",Hasil Pajak Daerah  ,32852300000,
"4,1,1,01, ",Pajak Hotel ,205000000,
"4,1,1,01,01, ",Hotel Bintang Tiga ,125000000,
"4,1,1,01,02, ",Losmen/Rumah/Penginapan/Pesanggrahan/Hostel/Rumah Kos ,80000000,
"4,1,1,02, ",Pajak Restoran  ,2575000000,
"4,1,1,02,02, ",Rumah Makan ,375000000,
"4,1,1,02,03, ",Katering ,2200000000,
"4,1,1,03, ",Pajak Hiburan ,36250000,
"4,1,1,03,01, ",Pagelaran Kesenian/Musik/Tari/Busana ,15000000,
"4,1,1,03,04, ",Balap Kendaraan Bermotor ,1000000,
"4,1,1,03,06, ",Pusat Kebugaran ,250000,
"4,1,1,03,08, ",Kolam Renang/Kendaraan wisata  ,5000000,
"4,1,1,03,09, ",Permainan Anak-anak/Jenis hiburan  ,15000000,
"4,1,1,04, ",Pajak Reklame ,561000000,
"4,1,1,04,01, ",Reklame Papan/Bill Board/Videotron/Megatron ,335000000,
"4,1,1,04,02, ",Reklame Kain ,50000000,
"4,1,1,04,03, ",Reklame Melekat/Stiker  ,1000000,
"4,1,1,04,05, ",Reklame Neonbox ,100000000,
"4,1,1,04,06, ",Reklame Baliho ,15000000,
"4,1,1,04,07, ",Reklame Bando ,40000000,
"4,1,1,04,08, ",Reklame Shopsign ,20000000,
"4,1,1,05, ",Pajak Penerangan Jalan ,9950000000,
"4,1,1,05,01, ",Pajak Penerangan Jalan PLN  ,9950000000,
"4,1,1,06, ",Pajak Pengambilan Bahan Galian Golongan C ,310000000,
"4,1,1,06,01, ",Batu Kapur ,300000000,
"4,1,1,06,03, ",Pasir urug ,10000000,
"4,1,1,07, ",Pajak Parkir ,22000000,
"4,1,1,07,01, ","Pajak Parkir, ",22000000,
"4,1,1,08, ",Pajak Air Tanah ,308000000,
"4,1,1,08,01, ",Pajak Air Bawah Tanah,308000000,
"4,1,1,09, ",Pajak Bumi dan Bangunan Perdesaan dan Perkotaan  ,16000000000,
"4,1,1,09,01, ",Pajak Bumi dan Bangunan Perdesaan dan Perkotaan ,16000000000,
"4,1,1,10, ",Bea Perolehan Hak Atas Tanah dan Bangunan ,2885050000,
"4,1,1,10,01, ",Pajak Bea Perolehan Hak Atas Tanah dan Bangunan ,2885050000,
"4,1,2, ",Hasil Retribusi Daerah ,28712665504,
"4,1,2,01, ",Retribusi Jasa Umum ,2692724000,
"4,1,2,01,01, ",Retribusi Pelayanan Kesehatan ,135000000,
"4,1,2,01,02, ",Retribusi Pelayanan Persampahan/Kebersihan ,443767600,
"4,1,2,01,03, ",Retribusi Pelayanan Parkir di tepi jalan umum ,394700000,
"4,1,2,01,04, ",Retribusi Pelayanan Pasar ,1315218900,
"4,1,2,01,05, ",Retribusi Pengujian Kendaraan Bermotor ,404037500,
"4,1,2,02, ",Retribusi Jasa Usaha ,25095494504,
"4,1,2,02,01, ",Retribusi Pemakaian Kekayaan Daerah ,670362504,
"4,1,2,02,02, ",Retribusi Terminal ,146455000,
"4,1,2,02,03, ",Retribusi Tempat Khusus Parkir ,850697500,
"4,1,2,02,04, ",Retribusi Tempat Penginapan/Pesanggrahan/Villa ,30000000,
"4,1,2,02,05, ",Retribusi Tempat Rekreasi dan Olahraga ,22231029500,
"4,1,2,02,06, ",Retribusi Penjualan Produksi Usaha Daerah ,691950000,
"4,1,2,02,07, ",Retribusi Tempat Pelelangan ,475000000,
"4,1,2,03, ",Retribusi Perizinan Tertentu ,924447000,
"4,1,2,03,01, ",Retribusi Izin Mendirikan Bangunan ,750000000,
"4,1,2,03,02, ",Retribusi Izin Gangguan/Keramaian ,150000000,
"4,1,2,03,03, ",Retribusi Izin Trayek ,24447000,
"4,1,3, ",Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan ,10291069874,
"4,1,3,01, ",Bagian Laba atas penyertaan modal pada Perusahaan Milik Daerah/BUMD ,10291069874,
"4,1,3,01,01, ",Perusahaan Daerah BPR Bank Daerah Gunungjkidul ,1613788474,
"4,1,3,01,02, ",Bank Pembangunan Daerah ,8673430000,
"4,1,3,01,03, ",Bagian Laba BUKP ,3851400,
"4,1,4, ",Lain-lain Pendapatan Asli Daerah yang Sah ,100496117937.38,
"4,1,4,01, ",Hasil Penjualan Aset Daerah Yang Tidak Dipisahkan ,510000000,
"4,1,4,01,01, ",Penjualan Peralatan/Perlengkapan Kantor tidak terpakai ,50000000,
"4,1,4,01,04, ",Penjualan Kendaraan Dinas roda dua ,100000000,
"4,1,4,01,05, ",Penjualan Kendaraan Dinas roda empat ,150000000,
"4,1,4,01,08, ",Penjualan Bahan-bahan Bekas Bangunan ,210000000,
"4,1,4,02, ",Penerimaan Jasa Giro ,2850000000,
"4,1,4,02,01, ",Jasa Giro Kas Daerah ,2750000000,
"4,1,4,02,02, ",Jasa Giro Pemegang Kas ,100000000,
"4,1,4,03, ",Pendapatan Bunga deposito ,15000000000,
"4,1,4,03,01, ",Bunga Deposito dari Bank ,15000000000,
"4,1,4,12, ",Pendapatan BLUD ,81586245376,
"4,1,4,12,01, ",Pendapatan Jasa Layanan ,5947332824,
"4,1,4,12,02, ",Lain-lain Pendapatan BLUD yang sah ,75638912552,
"4,1,4,13, ",Penerimaan Penempatan/Perpanjangan Kios dan Los ,475912232.17,
"4,1,4,13,01, ",Penempatan/Perpanjangan Kios dan Los ,475912232.17,
"4,1,4,14, ",Pendapatan dari Pengelolaan BUKP ,73960329.21,
"4,1,4,14,01, ",Dana Pembinaan dan Jasa Produksi BUKP ,73960329.21,
"4,2, ",Dana Perimbangan ,1371136459000,
"4,2,1, ",Bagi Hasil Pajak/Bagi Hasil Bukan Pajak ,27517205000,
"4,2,1,01, ",Bagi Hasil Pajak ,24553302000,
"4,2,1,01,01, ",Bagi Hasil dari Pajak Bumi dan Bangunan ,9425441000,
"4,2,1,01,02, ",Bagi Hasil dari Pajak Penghasilan (PPh) Pasal 25 dan Pasal 29 wajib pajak orang Pribadi dalam negeri dan PPh Pasal 21,15127861000,
"4,2,1,02, ",Bagi Hasil Bukan Pajak/Sumber Daya Alam ,2963903000,
"4,2,1,02,01, ",Bagi Hasil dari Iuran Hak Pengusahaan Hutan ,6396000,
"4,2,1,02,02, ",Bagi Hasil dari Pungutan Hasil Perikanan ,1089194000,
"4,2,1,02,03, ",Bagi Hasil dari Cukai Tembakau ,1868313000,
"4,2,2, ",Dana Alokasi Umum ,954997369000,
"4,2,2,01, ",Dana Alokasi  Umum ,954997369000,
"4,2,2,01,01, ","Dana Alokasi Umum, ",954997369000,
"4,2,3, ",Dana Alokasi Khusus ,388621885000,
"4,2,3,01, ",Dana Alokasi Khusus Fisik ,125290050000,
"4,2,3,01,01, ",Bidang Pendidikan ,3974910000,
"4,2,3,01,02, ",Bidang Kesehatan dan Keluarga Berencana ,22097630000,
"4,2,3,01,03, ","Bidang Infrastruktur Perumahan, Air Minum dan Sanitasi ",880220000,
"4,2,3,01,04, ",Bidang Kedaulatan Pangan ,3802850000,
"4,2,3,01,06, ",Bidang Kelautan dan Perikanan ,1241980000,
"4,2,3,01,07, ",Bidang Kehutanan dan Lingkungan Hidup ,1750090000,
"4,2,3,01,08, ",Bidang Transportasi ,805160000,
"4,2,3,01,09, ",Bidang Sarana Perdagangan dan Industri Kecil Menengah ,1525560000,
"4,2,3,01,11, ",Bidang Infrastruktur Publik Daerah ,69213550000,
"4,2,3,01,12, ",Bisang Sarpras Kesehatan ,19998100000,
"4,2,3,02, ",Dana Alokasi Khusus Non Fisik ,263331835000,
"4,2,3,02,02, ",Tunjangan Profesi Guru ,261307735000,
"4,2,3,02,03, ",Tambahan Penghasilan Guru ,2024100000,
"4,3, ",Lain-lain Pendapatan Daerah yang Sah ,196509836394.81,
"4,3,3, ",Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya ,75538718394.81,
"4,3,3,01, ",Dana Bagi Hasil Pajak dari Provinsi ,75538718394.81,
"4,3,3,01,01, ",Bagi Hasil dari Pajak Kendaraan Bermotor ,19746650438.81,
"4,3,3,01,02, ",Bagi Hasil dari Bea Balik Nama Kendaraan Bermotor ,11484172561.32,
"4,3,3,01,03, ",Bagi Hasil dari Pajak Bahan Bakar Kendaraan Bermotor ,18336447283,
"4,3,3,01,04, ",Bagi Hasil dari Pajak Pengambilan dan Pemanfaatan Air Permukaan ,50575800,
"4,3,3,01,05, ",Bagi hasil pajak rokok ,25920872311.68,
