Judul;Penjabaran Anggaran Pendaptan Belanja Daerah;;
1.17.1.17.01.001.010.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;30617550;Belanja  Alat Tulis Kantor 30617550
1.17.1.17.01.001.011 ;Penyediaan Barang Cetakan dan Penggandaan ;36933500;
1.17.1.17.01.001.011.5.2.2 ;BELANJA BARANG DAN JASA ;36933500;
1.17.1.17.01.001.011.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;36933500;
1.17.1.17.01.001.011.5.2.2.06.01 ;Belanja Cetak ;12050000;Belanja Cetak 12050000
1.17.1.17.01.001.011.5.2.2.06.02 ;Belanja Penggandaan ;24883500;Belanja Penggandaan 24883500
1.17.1.17.01.001.012 ;Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor ;5500000;
1.17.1.17.01.001.012.5.2.2 ;BELANJA BARANG DAN JASA ;5500000;
1.17.1.17.01.001.012.5.2.2.01 ;Belanja Bahan Pakai Habis ;5500000;
1.17.1.17.01.001.012.5.2.2.01.03 ;Belanja Alat Listrik Dan Elektronik ;5500000;Belanja Alat Listrik Dan Elektronik 5500000
1.17.1.17.01.001.013 ;Penyediaan Peralatan dan Perlengkapan Kantor ;61732000;
1.17.1.17.01.001.013.5.2.2 ;BELANJA BARANG DAN JASA ;61732000;
1.17.1.17.01.001.013.5.2.2.02 ;Belanja Bahan/Material ;50314000;
1.17.1.17.01.001.013.5.2.2.02.06 ;Belanja Bahan Komputer/Printer ;50314000;Belanja Bahan Komputer/Printer 50314000
1.17.1.17.01.001.013.5.2.2.20 ;Belanja Pemeliharaan ;11418000;
1.17.1.17.01.001.013.5.2.2.20.04 ;Belanja Pemeliharaan Peralatan Dan PerlengkapanKantor/Kerja/Kerumahtanggaan/Komunikasi/Studio  ;7118000;Belanja Pemeliharaan Peralatan Dan Perlengkapan 7118000
1.17.1.17.01.001.013.5.2.2.20.11 ;Belanja Pemeliharaan Komputer ;4300000;Belanja Pemeliharaan Komputer 4300000
1.17.1.17.01.001.014 ;Penyediaan Peralatan Rumah Tangga ;3170000;
1.17.1.17.01.001.014.5.2.2 ;BELANJA BARANG DAN JASA ;3170000;
1.17.1.17.01.001.014.5.2.2.02 ;Belanja Bahan/Material ;2395000;
1.17.1.17.01.001.014.5.2.2.02.07 ;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ;2395000;Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 2395000
1.17.1.17.01.001.014.5.2.2.03 ;Belanja Jasa Kantor ;600000;
1.17.1.17.01.001.014.5.2.2.03.13 ;Belanja Dekorasi Dokumentasi Publikasi Pembuatan Film ;600000;Belanja Dekorasi Dokumentasi Publikasi Pembuatan Film 600000
1.17.1.17.01.001.014.5.2.2.20 ;Belanja Pemeliharaan ;175000;
1.17.1.17.01.001.014.5.2.2.20.04 ;Belanja Pemeliharaan Peralatan Dan Perlengkapan Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio ;175000;Belanja Pemeliharaan Peralatan Dan Perlengkapan 175000Kantor/Kerja/Kerumahtanggaan/Komunikasi/Studio
1.17.1.17.01.001.015 ;Penyediaan Bahan Bacaan dan Peraturan Perundang-undangan ;7920000;
1.17.1.17.01.001.015.5.2.2 ;BELANJA BARANG DAN JASA ;7920000;
1.17.1.17.01.001.015.5.2.2.03 ;Belanja Jasa Kantor ;7920000;
1.17.1.17.01.001.015.5.2.2.03.05 ;Belanja Surat Kabar/Majalah ;7920000;Belanja Surat Kabar/Majalah 7920000
1.17.1.17.01.001.017 ;Penyediaan Makanan dan Minuman ;68320000;
1.17.1.17.01.001.017.5.2.2 ;BELANJA BARANG DAN JASA ;68320000;
1.17.1.17.01.001.017.5.2.2.11 ;Belanja Makanan Dan Minuman ;68320000;
1.17.1.17.01.001.017.5.2.2.11.01 ;Belanja Makanan Dan Minuman Pegawai ;35640000;Belanja Makanan Dan Minuman Pegawai 35640000
1.17.1.17.01.001.017.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;20200000;Belanja Makanan Dan Minuman Rapat 20200000
1.17.1.17.01.001.017.5.2.2.11.03 ;Belanja Makanan Dan Minuman Tamu ;12480000;Belanja Makanan Dan Minuman Tamu 12480000
1.17.1.17.01.001.018 ;Rapat-rapat Koordinasi dan Konsultasi Keluar Daerah ;35750000;
1.17.1.17.01.001.018.5.2.2 ;BELANJA BARANG DAN JASA ;35750000;
1.17.1.17.01.001.018.5.2.2.15 ;Belanja Perjalanan Dinas ;35750000;
1.17.1.17.01.001.018.5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;35750000;Belanja Perjalanan Dinas Luar Daerah 35750000
1.17.1.17.01.001.019 ;Penyediaan Jasa Tenaga Bantuan ;83802318;
1.17.1.17.01.001.019.5.2.1 ;BELANJA PEGAWAI ;83802318;
1.17.1.17.01.001.019.5.2.1.02 ;Honorarium Non PNS ;83802318;
1.17.1.17.01.001.019.5.2.1.02.02 ;Honorarium Pegawai Honorer/Tidak Tetap ;83802318;Honorarium Pegawai Honorer/Tidak Tetap 83802318
1.17.1.17.01.001.020 ;Penyediaan Jasa Keamanan ;81894000;
1.17.1.17.01.001.020.5.2.1 ;BELANJA PEGAWAI ;1830000;
1.17.1.17.01.001.020.5.2.1.01 ;Honorarium PNS ;1830000;
1.17.1.17.01.001.020.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;600000;Honorarium Panitia Pelaksana Kegiatan 600000
1.17.1.17.01.001.020.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;1230000;Honorarium Tim Pengadaan Barang dan Jasa 1230000
