Judul,Ringkasan Perubahan Apbd Menurut Urusan Pemerintahan Daerah Dan Organisasi
Daerah,Kabupaten Kulon Progo
Tahun,2014
Kode Organisasi
Kolom


Kode,Urusan Pemerintahan Daerah,Pendapatan,,,,Belanja,,,,,,,
,,Sebelum Perubahan,Setelah Perubahan,Bertambah / Berkurang,,Sebelum Perubahan,,,Setelah Perubahan,,,Bertambah / berkurang,
,,,,,,Tidak Langsung,Langsung,Jumlah Belanja,Tidak Langsung,Langsung,Jumlah Belanja
1.15,Koperasi dan Usaha Kecil Menengah ,252000000.00,195200000.00,-56800000.00,-22.54,1904357480.00,556266230.00,2460623710.00,1735541775.00,623846830.00,2359388605.00,-101235105.00,-4.11
1.15 . 1.15.01 ,Dinas Koperasi dan Usaha Mikro Kecil Menengah ,252000000.00,195200000.00,-56800000.00,-22.54,1904357480.00,556266230.00,2460623710.00,1735541775.00,623846830.00,2359388605.00,-101235105.00,-4.11
1.16,Penanaman Modal ,0.00,0.00,0.00,0.00,2089355517.00,908471800.00,2997827317.00,2049712627.00,926212500.00,2975925127.00,-21902190.00,-0.73
1.16 . 1.16.01 ,Badan Penanaman Modal dan Perizinan Terpadu ,0.00,0.00,0.00,0.00,2089355517.00,908471800.00,2997827317.00,2049712627.00,926212500.00,2975925127.00,-21902190.00,-0.73
1.17,Kebudayaan ,1700000000.00,1737353000.00,37353000.00,2.20,2833898939.00,709776550.00,3543675489.00,2795314670.00,742546550.00,3537861220.00,-5814269.00,-0.16
1.17 . 1.17.01 ,Dinas Kebudayaan Pariwisata Pemuda dan Olah Raga ,1700000000.00,1737353000.00,37353000.00,2.20,2833898939.00,709776550.00,3543675489.00,2795314670.00,742546550.00,3537861220.00,-5814269.00,-0.16
1.18,Kepemudaan dan Olah Raga ,0.00,0.00,0.00,0.00,0.00,246466350.00,246466350.00,0.00,630203325.00,630203325.00,383736975.00,155.70
1.18 . 1.17.01 ,Dinas Kebudayaan Pariwisata Pemuda dan Olah Raga ,0.00,0.00,0.00,0.00,0.00,246466350.00,246466350.00,0.00,630203325.00,630203325.00,383736975.00,155.70
1.19,Kesatuan Bangsa dan Politik Dalam Negeri ,0.00,0.00,0.00,0.00,4501386137.00,4640618360.00,9142004497.00,4521117001.00,4858051762.00,9379168763.00,237164266.00,2.59
1.19 . 1.19.01 ,Kantor Kesatuan Bangsa dan Politik Dalam Negeri ,0.00,0.00,0.00,0.00,956967534.00,313606050.00,1270573584.00,911984619.00,423439250.00,1335423869.00,64850285.00,5.10
1.19 . 1.19.02 ,Satuan Polisi Pamong Praja ,0.00,0.00,0.00,0.00,2361508021.00,1802526420.00,4164034441.00,2361720568.00,1844016562.00,4205737130.00,41702689.00,1.00
1.19 . 1.19.03 ,Badan Penanggulangan Bencana Daerah ,0.00,0.00,0.00,0.00,1182910582.00,2524485890.00,3707396472.00,1247411814.00,2590595950.00,3838007764.00,130611292.00,3.52
1.2,"Otonomi Daerah, Pemerintahan Umum, Administrasi ",972992863963.75,997796155177.41,24803291213.66,2.55,129739252233.84,28925470160.00,158664722393.84,143963976459.16,33174960397.00,177138936856.16,18474214462.32,11.64
,"Keuangan Daerah, Perangkat Daerah, Kepegawaian "
,dan Persandian
1.20 . 1.20.01 ,Dewan Perwakilan Rakyat Daerah ,0.00,0.00,0.00,0.00,6944815250.00,0.00,6944815250.00,6944815250.00,0.00,6944815250.00,0.00,0.00
1.20 . 1.20.02 ,Bupati dan Wakil Bupati ,0.00,0.00,0.00,0.00,563228185.00,0.00,563228185.00,683589296.00,0.00,683589296.00,120361111.00,21.37
1.20 . 1.20.03 ,Sekretariat Daerah ,116600000.00,152599375.00,35999375.00,30.87,10129981020.00,8383303698.00,18513284718.00,9972503652.00,10968751210.00,20941254862.00,2427970144.00,13.11
1.20 . 1.20.04 ,Sekretariat Dewan Perwakilan Rakyat Daerah ,0.00,0.00,0.00,0.00,2167186662.00,8674401100.00,10841587762.00,2209649070.00,9424740250.00,11634389320.00,792801558.00,7.31
1.20 . 1.20.05 ,Dinas Pendapatan Pengelolaan Keuangan dan Asset ,34556479872.01,40429526827.75,5873046955.74,17.00,5523396613.58,2450919165.00,7974315778.58,5608596548.38,2859966490.00,8468563038.38,494247259.80,6.20
1.20 . 1.20.06 ,Inspektorat Daerah ,0.00,0.00,0.00,0.00,3008399827.00,884135050.00,3892534877.00,3082996384.00,945228175.00,4028224559.00,135689682.00,3.49
1.20 . 1.20.07 ,Badan Kepegawaian Daerah ,0.00,0.00,0.00,0.00,12991783437.00,5000995550.00,17992778987.00,15677649440.00,5249577300.00,20927226740.00,2934447753.00,16.31
1.20 . 1.20.08 ,Kecamatan Temon ,0.00,0.00,0.00,0.00,1777660958.00,263528400.00,2041189358.00,1636746513.00,267330400.00,1904076913.00,-137112445.00,-6.72
1.20 . 1.20.09 ,Kecamatan Wates ,0.00,0.00,0.00,0.00,1575678889.00,251841300.00,1827520189.00,1524679418.00,251841300.00,1776520718.00,-50999471.00,-2.79
1.20 . 1.20.10 ,Kecamatan Panjatan ,0.00,0.00,0.00,0.00,1339231483.00,262879715.00,1602111198.00,1449863781.00,262879715.00,1712743496.00,110632298.00,6.91
1.20 . 1.20.11 ,Kecamatan Galur ,0.00,0.00,0.00,0.00,1371481213.00,262958050.00,1634439263.00,1444950344.00,266240250.00,1711190594.00,76751331.00,4.70
1.20 . 1.20.12 ,Kecamatan Lendah ,0.00,0.00,0.00,0.00,1377225128.00,267807500.00,1645032628.00,1376572362.00,297132500.00,1673704862.00,28672234.00,1.74
1.20 . 1.20.13 ,Kecamatan Sentolo ,0.00,0.00,0.00,0.00,1585739051.00,271341860.00,1857080911.00,1492897530.00,276066860.00,1768964390.00,-88116521.00,-4.74
1.20 . 1.20.14 ,Kecamatan Pengasih ,0.00,0.00,0.00,0.00,1681629302.00,267839300.00,1949468602.00,1497331801.00,272489300.00,1769821101.00,-179647501.00,-9.22
1.20 . 1.20.15 ,Kecamatan Kokap ,0.00,0.00,0.00,0.00,1600230347.00,273279800.00,1873510147.00,1626169404.00,273279800.00,1899449204.00,25939057.00,1.38
1.20 . 1.20.16 ,Kecamatan Girimulyo ,0.00,0.00,0.00,0.00,1276882467.00,278256250.00,1555138717.00,1330222949.00,280957425.00,1611180374.00,56041657.00,3.60
1.20 . 1.20.17 ,Kecamatan Nanggulan ,0.00,0.00,0.00,0.00,1679056399.00,265069250.00,1944125649.00,1722985368.00,268769250.00,1991754618.00,47628969.00,2.45
1.20 . 1.20.18 ,Kecamatan Samigaluh ,0.00,0.00,0.00,0.00,1470397210.00,292884222.00,1763281432.00,1441724775.00,295166222.00,1736890997.00,-26390435.00,-1.50
1.20 . 1.20.19 ,Kecamatan Kalibawang ,0.00,0.00,0.00,0.00,1159673626.00,288997250.00,1448670876.00,1241010327.00,290881250.00,1531891577.00,83220701.00,5.74
1.20 . 1.20.21 ,Kelurahan Wates ,11000000.00,294444050.00,283444050.00, 2.576.76 ,620217633.00,285032700.00,905250333.00,576862086.00,423662700.00,1000524786.00,95274453.00,10.52
1.20 . 1.20.99 ,Pejabat Pengelola Keuangan Daerah ,938308784091.74,956919584924.66,18610800832.92,1.98,69895357533.26,0.00,69895357533.26,81422160160.78,0.00,81422160160.78,11526802627.52,16.49
1.21,Ketahanan Pangan ,4000000.00,4000000.00,0.00,0.00,6113525480.00,1349396910.00,7462922390.00,6760629370.00,1383643310.00,8144272680.00,681350290.00,9.13
