"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2014,,
"Kode Organisasi","2.04.01.",,
"Nama Organisasi","Dinas Pariwisata",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"2.04.2.04.01.00.00.4.","Pendapatan",17300000,
"2.04.2.04.01.00.00.4.1.","Pendapatan Asli Daerah",17300000,
"2.04.2.04.01.00.00.4.1.4.","Lain-Lain Pendapatan Asli Daerah Yang Sah",17300000,
"2.04.2.04.01.00.00.4.1.4.17.","Pendapatan dari Pengelolaan Barang Milik Daerah",17300000,"Pendapatan dari Pengelolaan Barang Milik Daerah 17.300.000,00"
,"JUMLAH PENDAPATAN",17300000,
"2.04.2.04.01.00.00.5.","Belanja",28440948146,
"2.04.2.04.01.00.00.5.1.","Belanja Tidak Langsung",4333807146,
"2.04.2.04.01.00.00.5.1.1.","Belanja Pegawai",4333807146,
"2.04.2.04.01.00.00.5.1.1.01.","Gaji Dan Tunjangan",4333807146,"Gaji Dan Tunjangan 4.333.807.146,00"
"2.04.2.04.01.00.00.5.2.","BELANJA LANGSUNG",24107141000,
"2.04.2.04.01.01.","PROGRAM PELAYANAN ADMINIDTRASI PERKANTORAN",1117396080,
"2.04.2.04.01.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA APARATUR",742000000,
"2.04.2.04.01.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR",109597500,
"2.04.2.04.01.06.","PROGRAM PENINGKATAN PENGEMABANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",168794300,
"2.04.2.04.01.15.","PROGRAM PENGEMBANGAN PEMASARAN PARIWIASATA",2470025280,
"2.04.2.04.01.15.001.","Analisa Pasar Untuk Promosi Dan Pemasaran Objek Pariwisata",320000000,"Analisa Pasar Untuk Promosi Dan Pemasaran Objek Pariwisata 320.000.000,00"
"2.04.2.04.01.15.002.","Peningkatan Pemanfaatan Teknologi Informasi Dalam Pemasaran Pariwisata",73068200,"Peningkatan Pemanfaatan Teknologi Informasi Dalam Pemasaran Pariwisata 73.068.200,00"
"2.04.2.04.01.15.003.","Pengembangan Jaringan Kerja Sama Promosi Pariwisata",99999600,"Pengembangan Jaringan Kerja Sama Promosi Pariwisata 99.999.600,00"
"2.04.2.04.01.15.005.","Pelaksanaan Promosi Pariwisata Nusantara Di Dalam Dan Di Luar Negeri",1028202700,"Pelaksanaan Promosi Pariwisata Nusantara Di Dalam Dan Di Luar Negeri 1.028.202.700,00"
"2.04.2.04.01.15.007.","Pengembangan Statistik Kepariwisataan",25180800,"Pengembangan Statistik Kepariwisataan 25.180.800,00"
"2.04.2.04.01.15.008.","Pelatihan Pemandu Wisata Terpadu",75148600,"Pelatihan Pemandu Wisata Terpadu 75.148.600,00"
"2.04.2.04.01.15.009.","Pembuatan Bahan-Bahan Promosi Kepariwisataan",316995600,"Pembuatan Bahan-Bahan Promosi Kepariwisataan 316.995.600,00"
"2.04.2.04.01.15.010.","Penyusunan Dan Penerbitan Tabloid Pariwisata",99986400,"Penyusunan Dan Penerbitan Tabloid Pariwisata 99.986.600,00"
"2.04.2.04.01.15.011.","Pengelolaan Pelayanan Informasi Pariwisata",81449880,"Pengelolaan Pelayanan Informasi Pariwisata 81.449.880,00"
"2.04.2.04.01.15.012.","Penyelenggaraan Fam Tour",349993500,"Penyelenggaraan Fam Tour 349.993.500,00"
"2.04.2.04.01.16.","PROGRAM PENGEMBANGAN DESTINASI PARIWISATA",1700437950,
"2.04.2.04.01.16.001.","Pengembangan Objek Pariwisata Unggulan",400000000,"Pengembangan Objek Pariwisata Unggulan 400.000.000,00"
"2.04.2.04.01.16.002.","Peningkatan Pembangunan Sarana Dan Prasarana Pariwisata",1000000000,"Peningkatan Pembangunan Sarana Dan Prasarana Pariwisata 1.000.000.000,00"
"2.04.2.04.01.16.007.","Pengembangan, Sosialisasi Dan Penerapan Serta Pengawasan Standarisasi",100437950,"Pengembangan, Sosialisasi Dan Penerapan Serta Pengawasan Standarisasi 100.437.950,00"
"2.04.2.04.01.16.016.","Pengembangan Obyek Pariwisata Strategis Prioritas",200000000,"Pengembangan Obyek Pariwisata Strategis Prioritas 200.000.000,00"
"2.04.2.04.01.17.","PROGRAM PENGEMBANGAN KEMITRAAN",2694012940,
"2.04.2.04.01.17.002.","Pengembangan Dan Penguatan Litbang Kebudayaan Dan Pariwisata",103863650,"Pengembangan Dan Penguatan Litbang Kebudayaan Dan Pariwisata 103.863.650,00"
"2.04.2.04.01.17.005.","Pelaksanaan Koordinasi Pembangunan Kemitraan Pariwisata",145919750,"Pelaksanaan Koordinasi Pembangunan Kemitraan Pariwisata 145.919.750,00"
"2.04.2.04.01.17.008.","Peningkatan Peran Serta Masyarakat Dalam Pengembangan Kemitraan Pariwisata",94252700,"Peningkatan Peran Serta Masyarakat Dalam Pengembangan Kemitraan Pariwisata 94.252.700,00"
"2.04.2.04.01.17.011.","Pengembangan S D M Dan Profesionalisme Bidang Pariwisata",350000000,"Pengembangan S D M Dan Profesionalisme Bidang Pariwisata 350.000.000,00"
"2.04.2.04.01.17.013.","Fasilitasi Penyelenggaraan Event Kepariwisataan",1335506840,"Fasilitasi Penyelenggaraan Event Kepariwisataan 1.335.506.840,00"
"2.04.2.04.01.17.015.","Penyelenggaraan Event Kepariwisataan",664470000,"Penyelenggaraan Event Kepariwisataan 664.470.000,00"
"2.04.2.04.01.18.","PROGRAM PENGEMBANGAN DESA WISATA",674876950,
"2.04.2.04.01.18.001.","Fasilitasi Penyelenggaraan Event di Desa Wisata",331515000,"Fasilitasi Penyelenggaraan Event di Desa Wisata 331.515.000,00"
"2.04.2.04.01.18.002.","Peningkatan Sarana Prasarana Desa Wisata",24407200,"Peningkatan Sarana Prasarana Desa Wisata 24.407.200,00"
"2.04.2.04.01.18.003.","Peningkatan Kapasitas SDM dan Kelembagaan Desa Wisata",318954750,"Peningkatan Kapasitas SDM dan Kelembagaan Desa Wisata 318.954.750,00"
"3.30.2.04.01.15.","PROGRAM PENGEMBANGAN PEMASARAN PARIWISATA",3000000000,
"3.30.2.04.01.15.015.","Promosi Seni Budaya Daerah Melalui Media Massa",3000000000,"Promosi Seni Budaya Daerah Melalui Media Massa 3.000.000.000,00"
"3.30.2.04.01.16.","PROGRAM PENGEMBANGAN DESTINASI PARIWISATA",1500000000,
"3.30.2.04.01.16.019.","Pengembangan Kawasan Wisata Budaya dan Strategis",1500000000,"Pengembangan Kawasan Wisata Budaya dan Strategis 1.500.000.000,00"
"3.30.2.04.01.17.","PROGRAM PENGEMBANGAN KEMITRAAN",9870000000,
"3.30.2.04.01.17.019.","Aktualisasi Seni Tradisi Budaya Untuk Mendukung Kepariwisataan",9870000000,"Aktualisasi Seni Tradisi Budaya Untuk Mendukung Kepariwisataan 9.870.000.000,00"
,"JUMLAH BELANJA",28440948146,
