"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2016,,
"Kode Organisasi","2.04.01.",,
"Nama Organisasi","Dinas Pariwisata",,
"Kolom",4,,
"No Rekening","Uraian","Jumlah","Keterangan"
"2.04.2.04.01.00.00.4.","Pendapatan",24000000,
"2.04.2.04.01.00.00.4.1.","Pendapatan Asli Daerah",24000000,
"2.04.2.04.01.00.00.4.1.4.","Lain-Lain Pendapatan Asli Daerah Yang Sah",24000000,
"2.04.2.04.01.00.00.4.1.4.17.","Pendapatan Dari Pengelolaan Barang Milik Daerah",24000000,"Pendapatan Dari Pengelolaan Barang Milik Daerah 24.000.000,00"
,"JUMLAH PENDAPATAN",24000000,
"2.04.2.04.01.00.00.5.","Belanja",28380476996,
"2.04.2.04.01.00.00.5.1.","Belanja Tidak Langsung",4644733168,
"2.04.2.04.01.00.00.5.1.1.","Belanja Pegawai",4644733168,
"2.04.2.04.01.00.00.5.1.1.01.","Gaji Dan Tunjangan",4644733168,"Gaji Dan Tunjangan 4.644.733.168,00"
"2.04.2.04.01.00.00.5.2.","BELANJA LANGSUNG",23735743828,
"2.04.2.04.01.01.","PROGRAM PELAYANAN ADMINISTRASI PERKANTORAN",1285214328,
"2.04.2.04.01.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA APARATUR",943689000,
"2.04.2.04.01.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR",50000000,
"2.04.2.04.01.06.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAAN KINERJA DAN KEUANGAN",154171000,
"2.04.2.04.01.15.","PROGRAM PENGEMBANGAN PEMASARAN PARIWISATA",7623100000,
"2.04.2.04.01.15.015.","Penyusunan Data kepariwisataan",670000000,"Penyusunan Data kepariwisataan 670.000.000,00"
"2.04.2.04.01.15.016.","Pemasaran Dan Jejaring Kemitraan pariwisata",6953100000,"Pemasaran Dan Jejaring Kemitraan pariwisata 6.953.100.000,00"
"2.04.2.04.01.16.","PROGRAM PENGEMBANGAN DESTINASI PARIWISATA",5440500000,
"2.04.2.04.01.16.019.","Pengembangan Kawasan Strategis Pariwisata",5440500000,"Pengembangan Kawasan Strategis Pariwisata 5.440.500.000,00"
"2.04.2.04.01.17.","PROGRAM PENGEMBANGAN KEMITRAAN",6265420000,
"2.04.2.04.01.17.019.","Peningkatan Kapasitas SDM dan Kelembagaan Pelaku Pariwisata",1034790000,"Peningkatan Kapasitas SDM dan Kelembagaan Pelaku Pariwisata 1.034.790.000,00"
"2.04.2.04.01.17.020.","Peningkatan Daya Tarik Pariwisata",5230630000,"Peningkatan Daya Tarik Pariwisata 5.230.630.000,00"
"2.04.2.04.01.18.","PROGRAM PENGEMBANGAN DESA WISATA",1973649500,
"2.04.2.04.01.18.004.","Peningkatan Daya Tarik Desa Wisata",1973649500,"Peningkatan Daya Tarik Desa Wisata 1.973.649.500,00"
,"JUMLAH BELANJA",28380476996,
