Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Sleman,,,,,
Tahun,2015,,,,,
Kode Organisasi,0,,,,,
Nama Organisasi,Kabupaten Sleman,,,,,
Kolom,7,,,,,
Kode Rekening,Uraian,Sebelum Perubahan,Setelah Perubahan,Selisih,%,Keterangan
1,Pendapatan Daerah,2190824377661.01,2262230417718.8,71406040057.79,3.26,
1.1,Pendapatan Asli Daerah,564060923221,577585009141.24,13524085920.24,2.4,
1.1.1,Pajak Daerah,330600000000,346000000000,15400000000,4.66,
1.1.2,Retribusi Daerah,40757507280,41145280060,387772780,0.95,
1.1.3,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,45797000000,34169550953.24,-11627449046.76,(25.39),
1.1.4,Lain-lain Pendapatan Asli Daerah yang Sah,146906415941,156270178128,9363762187,6.37,
1.2,Dana Perimbangan,1075629278043,1101084018000,25454739957,2.37,
1.2.1,Dana Bagi Hasil Pajak/Bagi Hasil Bukan Pajak,52064420273,55456490000,3392069727,6.52,
1.2.2,Dana Alokasi Umum,984410612000,984410612000,0,0,
1.2.3,Dana Alokasi Khusus,14433000000,33168100000,18735100000,129.81,
1.2.4,Alokasi Dana Desa Dari APBN,24721245770,28048816000,3327570230,13.46,
1.3,Lain-lain Pendapatan Daerah yang Sah,551134176397.01,583561390577.56,32427214180.55,5.88,
1.3.1,Pendapatan Hibah,1250000000,7667324250,6417324250,513.39,
1.3.3,Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah lainnya,173528827397.01,201746717327.56,28217889930.55,16.26,
1.3.4,Dana Penyesuaian dan Otonomi Khusus,343074799000,340866799000,-2208000000,(0.64),
1.3.5,Bantuan Keuangan dari Provinsi atau Pemerintah Daerah lainnya,33280550000,33280550000,0,0,
2,Belanja Daerah,2312977074385.42,2770682731330.03,457705656944.61,19.79,
2.1,Belanja Tidak Langsung,1413387731442.42,1533934299755.03,120546568312.61,8.53,
2.1.1,Belanja Pegawai,1124858474456.02,1211671936408.62,86813461952.6,7.72,
2.1.2,Belanja Bunga,4106423611,1500000000,-2606423611,(63.47),
2.1.4,Belanja Hibah,62441354653,53179657288,-9261697365,(14.83),
2.1.5,Belanja Bantuan Sosial,34036605000,42208268730,8171663730,24.01,
2.1.6,Belanja Bagi Hasil Kepada Provinsi/Kabupaten/Kota Dan Pemerintahan Desa,37135750728,46656578228,9520827500,25.64,
2.1.7,"Belanja Bantuan Keuangan Kepada Provinsi/Kabupaten/Kota, Pemerintahan Desa Dan Partai Politik",135175612236.4,139250082466.4,4074470230,3.01,
2.1.8,Belanja Tidak Terduga,15633510758,39467776634.01,23834265876.01,152.46,
2.2,Belanja Langsung,899589342943 1236748431575,,337159088632,37.48,
2.2.1,Belanja Pegawai,147949178704,176067607068,28118428364,19.01,
2.2.2,Belanja Barang Dan Jasa,426134852340,520520553287,94385700947,22.15,
2.2.3,Belanja Modal,325505311899,540160271220,214654959321,65.95,
,Jumlah Belanja Daerah,2312977074385.42,2770682731330.03,457705656944.61,19.79,
,Surplus/Defisit,-122152696724.41,(508452313611.23) ,(386299616886.82),(316.24),
3,Pembiayaan Daerah,122452696724.41,508452313611.23,385999616886.82,315.22,
3.1,Penerimaan Pembiayaan Daerah,142287949224.41,534724664810.23,392436715585.82,275.8,
3.1.1,Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya,107287949224.41,499724664810.23,392436715585.82,365.78,
3.1.4,Penerimaan Pinjaman Daerah,35000000000,35000000000,0,0,
,Jumlah Penerimaan Pembiayaan Daerah,142287949224.41,534724664810.23,392436715585.82,275.8,
3.2,Pengeluaran Pembiayaan Daerah,19835252500,26272351199,6437098699,32.45,
3.2.2,Penyertaan Modal/Investasi Pemerintah Daerah,12835252500,26272351199,13437098699,104.69,
3.2.3,Pembayaran Pokok Utang,7000000000,0,-7000000000,(100.00),
,Jumlah Pengeluaran Pembiayaan Daerah,19835252500,26272351199,6437098699,32.45,
