"Judul","Realisasi Anggaran Pendapatan Belanja Daerah",,,,,
"Daerah","Kabupaten Sleman",,,,,
"Tahun",2015,,,,,
"Kode Organisasi","1.03.01.00",,,,,
"Nama Organisasi","Dinas Pekerjaan Umum Dan Perumahan",,,,,
"Kolom",7,,,,,
"No. Rekening","Uraian","Sebelum","Sesudah","Angka","Prosentase","Keterangan"
1,"URUSAN WAJIB",2293038320,2482631100,189592780,"8.27",
"1.03","Pekerjaan Umum",2293038320,2482631100,189592780,"8.27",
"1.03.1.03.01.00.00.001.4","Pendapatan",2293038320,2482631100,189592780,"8.27","Perda No.15 Tahun 2011 tentang Retribusi Pelayanan Pemakaman dan Pengabuan Mayat dan Perda No.5 Tahun 2012 Tentang Retribusi Pemakaian Kekayaan Daerah "
"1.03.1.03.01.00.00.001.4.1","Pendapatan Asli Daerah",2293038320,2482631100,189592780,"8.27",
"1.03.1.03.01.00.00.001.4.1.2","Retribusi Daerah",2293038320,2482631100,189592780,"8.27",
,"Jumlah Pendapatan",2293038320,2482631100,189592780,"8.27",
"1.03.1.03.01.00.00.002.5","BELANJA DAERAH",191857565921,"229678309972,2","37820744051,2","19.71",
1,"URUSAN WAJIB",10505511916,"10973949441,2","468437525,2","4.46",
"1.03","Pekerjaan Umum",10505511916,"10973949441,2","468437525,2","4.46",
"1.03.1.03.01.00.00.002.5.1","Belanja Tidak Langsung",10505511916,"10973949441,2","468437525,2","4.46","Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS."
"1.03.1.03.01.00.00.002.5.1.1","Belanja Pegawai",10505511916,"10973949441,2","468437525,2","4.46",
"1.03.1.03.01.00.00.002.5.2","Belanja Langsung",181352054005,218704360531,37352306526,"20.60",
1,"URUSAN WAJIB",135354822505,170764422031,35409599526,"26.16",
"1.03","Pekerjaan Umum",120321187755,154408634281,34087446526,"28.33",
"1.03.1.03.01.00.01","Program Pelayanan Administrasi Perkantoran",699010790,720810790,21800000,"3.12",
"1.03.1.03.01.00.02","Program peningkatan sarana dan prasarana aparatur",2160053775,2190053775,30000000,"1.39",
"1.03.1.03.01.00.05","Program peningkatan kapasitas sumber daya aparatur",56662400,56662400,"0,00","0.00",
"1.03.1.03.01.00.06","Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan",272114000,272114000,"0,00","0.00",
"1.03.1.03.01.00.15","Program Pembangunan Jalan dan Jembatan",30355041000,28032337000,-2322704000,"(7.65)",
"1.03.1.03.01.00.15.001","Perencanaan pembangunan jalan",398165000,398165000,"0,00","0.00",
"1.03.1.03.01.00.15.004","Perencanaan pembangunan jembatan",483576000,582127000,98551000,"20.38",
"1.03.1.03.01.00.15.006","Peningkatan jalan",22323300000,22323300000,"0,00","0.00",
"1.03.1.03.01.00.15.007","Peningkatan jembatan dan gorong-gorong",7150000000,4728745000,-2421255000,"(33.86)",
"1.03.1.03.01.00.16","Program Pembangunan saluran drainase/gorong-gorong",10693591500,11161811500,468220000,"4.38",
"1.03.1.03.01.00.16.001","Perencanaan Pembangunan saluran drainase/gorong-gorong",247180000,697180000,450000000,"182.05",
"1.03.1.03.01.00.16.003","Pembangunan saluran drainase/gorong-gorong",9029429500,9047649500,18220000,"0.20",
"1.03.1.03.01.00.16.005","Pemeliharaan Rutin Saluran Drainase",1416982000,1416982000,"0,00","0.00",
"1.03.1.03.01.00.17","Program Pembangunan turap/talud/brojong",4338600000,4934600000,596000000,"13.74",
"1.03.1.03.01.00.17.003","Pembangunan turap/talud/bronjong",4338600000,4934600000,596000000,"13.74",
"1.03.1.03.01.00.18","Program rehabilitasi/pemeliharaan Jalan dan Jembatan",25952891450,36551059010,10598167560,"40.84",
"1.03.1.03.01.00.18.001","Perencanaan rehabilitasi/pemeliharaan jalan",756413500,805663500,49250000,"6.51",
"1.03.1.03.01.00.18.003","Rehabilitasi/pemeliharaan jalan",17400874950,26420867950,9019993000,"51.84",
"1.03.1.03.01.00.18.006","Pemeliharaan Rutin Jalan",4426252500,5955177060,1528924560,"34.54",
"1.03.1.03.01.00.18.007","Pemeliharaan Rutin Jembatan",889410000,889410000,"0,00","0.00",
"1.03.1.03.01.00.18.009","Peningkatan peran serta masyarakat dalam pemeliharaan jalan dan jembatan",2479940500,2479940500,"0,00","0.00",
"1.03.1.03.01.00.22","Program Pembangunan sistem informasi/data base jalan dan jembatan",342434000,342434000,"0,00","0.00",
"1.03.1.03.01.00.22.001","Penyusunan sistem informasi/data base jalan",342434000,342434000,"0,00","0.00",
"1.03.1.03.01.00.23","Program peningkatan sarana dan prasarana kebinamargaan",801855090,4024855090,3223000000,"401.94",
"1.03.1.03.01.00.23.014","Operasional/pemeliharaan sarana dan prasarana kebinamargaan",754821240,3977821240,3223000000,"426.99",
"1.03.1.03.01.00.23.015","Operasional/pemeliharaan alat-alat ukur dan bahan laboratorium",47033850,47033850,"0,00","0.00",
