Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
Daerah,Kabupaten Sleman,,,,,
Tahun,2014,,,,,
Kode Organisasi,0,,,,,
Nama Organisasi,Kabupaten Sleman,,,,,
Kolom,7,,,,,
Kode Rekening,Uraian,Sebelum Perubahan,Setelah Perubahan,Selisih,%,Keterangan
1,Pendapatan Daerah,1869792735173.24,1969264200317.70,99471465144.46,5.32,
1.1,Pendapatan Asli Daerah,383497911987,474917917941.46,91420005954.46,23.84,
1.1.1,Pajak Daerah,234300000000,282100000000,47800000000,20.40,
1.1.2,Retribusi Daerah,32537957280,35114444240,2576486960,7.92,
1.1.3,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,18679733000,23747000000,5067267000,27.13,
1.1.4,Lain-lain Pendapatan Asli Daerah yang Sah,97980221707,133956473701.46,35976251994.46,36.72,
1.2,Dana Perimbangan,1048511113184,1048511113184,0,0,
1.2.1,Dana Bagi Hasil Pajak/Bagi Hasil Bukan Pajak,47735401184,47735401184,0,0,
1.2.2,Dana Alokasi Umum,952102502000,952102502000,0,0,
1.2.3,Dana Alokasi Khusus,48673210000,48673210000,0,0,
1.3,Lain-lain Pendapatan Daerah yang Sah,437783710002.24,445835169192.24,8051459190,1.84,
1.3.3,Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah lainnya,136203645122.24,136308645122.24,105000000,0.08,
1.3.5,Bantuan Keuangan dari Provinsi atau Pemerintah Daerah lainnya,28830787000,28830787000,0,0,
1.3.6,Dana Tunjangan Pendidikan,246870770880,254817230070,7946459190,0,
1.3.9,Dana Insentif Daerah,25878507000,25878507000,0,0,
2,Belanja Daerah,1978674626620.63,2288645856460.56,309971229839.93,15.67,
2.1,Belanja Tidak Langsung,1209959642739.63,1321166036239.10,111206393499.47,9.19,
2.1.1,Belanja Pegawai,1051282076217.20,1143891239513.81,92609163296.61,8.81,
2.1.2,Belanja Bunga,144000000,144000000,0,0,
2.1.4,Belanja Hibah,24501795800,26157473850,1655678050,6.76,
2.1.5,Belanja Bantuan Sosial,39944377000,41701077000,1756700000,4.40,
2.1.6,Belanja Bagi Hasil Kepada Provinsi/Kabupaten/Kota Dan Pemerintahan Desa,34947552827,41583030285,6635477458,18.99,
2.1.7,"Belanja Bantuan Keuangan Kepada Provinsi/Kabupaten/Kota, Pemerintahan Desa Dan Partai Politik",41167900000,41397451000,229551000,0.56,
2.1.8,Belanja Tidak Terduga,17971940895.43,26291764590.29,8319823694.86,46.29,
2.2,Belanja Langsung,768714983881,967479820221.46,198764836340.46,25.86,
2.2.1,Belanja Pegawai,125875393310,144501680983.46,18626287673.46,14.80,
2.2.2,Belanja Barang Dan Jasa,331560836197,435746963796,104186127599,31.42,
2.2.3,Belanja Modal,311278754374,387231175442,75952421068,24.40,
,Jumlah Belanja Daerah,1978674626620.63,2288645856460.56,309971229839.93,15.67,
,Surplus/Defisit,-108881891447.39,-319381656142.86,-210499764695.47,193.33,
3,Pembiayaan Daerah,108881891447.39,319381656142.86,210499764695.47,193.33,
3.1,Penerimaan Pembiayaan Daerah,109019891447.39,431359469619.86,322339578172.47,295.67,
3.1.1,Sisa Lebih Perhitungan Anggaran Tahun Anggaran Sebelumnya,109019891447.39,431359469619.86,322339578172.47,295.67,
,Jumlah Penerimaan Pembiayaan Daerah,109019891447.39,431359469619.86,322339578172.47,295.67,
3.2,Pengeluaran Pembiayaan Daerah,138000000,111977813477,111839813477,81043.34,
3.2.2,Penyertaan Modal/Investasi Pemerintah Daerah,0,111839813477,111839813477,0,
3.2.3,Pembayaran Pokok Utang,138000000,138000000,0,0,
3.2.4,Pemberian Pinjaman Daerah (Penguatan Modal),0,0,0,0,
,Jumlah Pengeluaran Pembiayaan Daerah,108881891447.39,111977813477,111839813477,81043.34,
