"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2014,,
"Kode Organisasi","2.01.01.",,
"Nama Organisasi","Dinas Pertanian",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"2.01.2.01.01.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA APARATUR",12814588738,
"2.01.2.01.01.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR",15000000,
"2.01.2.01.01.06.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",221969600,
"2.01.2.01.01.17.","PROGRAM PENINGKATAN PEMASARAN HASIL PRODUKSI PERTANIAN/PERKEBUNAN",1609435350,
"2.01.2.01.01.17.007.","Promosi Atas Hasil Produksi Pertanian/Perkebunan Unggulan Daerah",501593520,
"2.01.2.01.01.17.021.","Penyebarluasan Informasi Perbenihan",50000000,
"2.01.2.01.01.17.022.","Penanganan Pasca Panen dan Pengolahan Hasil Pertanian",147288600,
"2.01.2.01.01.17.023.","Penanganan Pasca Panen dan Pengolahan Hasil Holtikultura",310553230,
"2.01.2.01.01.17.024.","Penanganan Pasca Panen dan Pengolahan Hasil Peternakan",75000000,
"2.01.2.01.01.17.025.","Peningkatan Keamanan Pangan Asal Hewan",300000000,
"2.01.2.01.01.17.026.","Peningkatan Mutu dan Keamanan Pangan Produk Pertanian",75000000,
"2.01.2.01.01.17.027.","Profil Pengolahan Hasil Pertanian",150000000,
"2.01.2.01.01.22.","PROGRAM PENINGKATAN PRODUKSI HASIL PETERNAKAN",7845600750,
"2.01.2.01.01.22.012.","Pengembangan Ternak Kambing",1275514000,
"2.01.2.01.01.22.013.","Pengembangan Ternak Sapi Perah",118328600,
"2.01.2.01.01.22.014.","Pengembangan Ternak Sapi Potong",980418000,
"2.01.2.01.01.22.019.","Pengembangan Produksi Semen Beku Sapi",1418202725,
"2.01.2.01.01.22.023.","Pengembangan Pembibitan Ternak",2097363875,
"2.01.2.01.01.22.025.","Penumbuhan HMT di Lahan Marginal",144873600,
"2.01.2.01.01.22.26.","Penanggulangan Penyakit Hewan Menular Strategis",300821300,
"2.01.2.01.01.22.27.","Pemeliharaan Kesehatan dan Pencegahan Penyakit Menular Strategis (Pengujian Laboratoris)",261735800,
"2.01.2.01.01.22.28.","Kaji Terap Teknologi Peternakan",132430250,
"2.01.2.01.01.22.29.","Pengawasan Lalu Lintas Ternak",200000000,
"2.01.2.01.01.22.30.","Pengembangan Bibit HMT di UPTD BPBPTDK",125000000,
"2.01.2.01.01.22.31.","Peningkatan Pendapatan Petani Melalui Argibisnis Peternakan",790912600,
"2.01.2.01.01.25.","PROGRAM PENINGKATAN KUALITAS S D M DAN KELEMBAGAAN PETANI",1238834350,
"2.01.2.01.01.25.007.","Diklat Agribisnis Peternakan",65000000,
"2.01.2.01.01.25.015","Pengakajian Diklat",26000000,
"2.01.2.01.01.25.016.","Temu Teknis Teknologi Pertanian",33000000,
"2.01.2.01.01.25.018.","Pelatihan Pengolahan Hasil Peternakan Bagi Petani",65000000,
"2.01.2.01.01.25.020.","Diklat Organik Farming",126404775,
"2.01.2.01.01.25.021.","Diklat Pemandu S L P H T Dan S L Iklim",36007425,
"2.01.2.01.01.25.024.","Evaluasi Pasca Latihan Dan Bimbingan Lanjutan",22000000,
"2.01.2.01.01.25.028.","Peningkatan Profesionalisme Widyaiswara dan Staf Teknis",75000000,
"2.01.2.01.01.25.029.","Diklat Penangkaran Benih Padi, Bawang Merah, dan Buah-Buahan Bagi Petani/Penangkar",65000000,
"2.01.2.01.01.25.030.","Pelatihan Petugas Fungsional POPT",55000000,
"2.01.2.01.01.25.031.","Fasilitasi Praktek Lapangan dan Penggunaan Laboratorium",113256850,
"2.01.2.01.01.25.033.","Diklat Integrated Farming",65000000,
"2.01.2.01.01.25.034.","Diklat Pemanfaatan Limbah Peternakan Sebagai Energi Alternatif",65000000,
"2.01.2.01.01.25.035.","Diklat Kewirausahaan bagi Generasi Muda",26674775,
"2.01.2.01.01.25.036.","Apresiasi Perencanaan Diklat",8631600,
"2.01.2.01.01.25.037.","Diklat Budidaya dan Pengelolaan HMT",65000000,
"2.01.2.01.01.25.038.","Diklat Inseminasi Buatan Kambing",65000000,
"2.01.2.01.01.25.039.","Diklat Mitigasi dan Perubahan Iklim",60604850,
"2.01.2.01.01.25.040.","Peningkatan Kemampuan Lembaga Petani",58110700,
"2.01.2.01.01.25.041.","Penguatan Kelembagaan Tingkat Usaha",78143375,
"2.01.2.01.01.25.042.","Pelatihan Sertifikasi Benih Tanaman Pangan",65000000,
"2.01.2.01.01.29.","PROGRAM PENINGKATAN PRODUKSI TANAMAN PANGAN",6492481300,
"2.01.2.01.01.29.001.","Peningkatan Pengelolaan Sumberdaya Air Wilayah Sungai dan Pengelolaan Irigasi (Partisipatif WISM)",99980000,
"2.01.2.01.01.29.002.","Reklamasi dan Rehabilitasi Lahan Sawah",330800000,
"2.01.2.01.01.29.003.","Pemberdayaan P3A dan Peningkatan Jalan Tersier",450000000,
"2.01.2.01.01.29.004.","Penanganan Lahan Pertanian Berkelanjutan",279786500,
"2.01.2.01.01.29.005.","Penyusunan Rencanan Kebutuhan",250000000,
"2.01.2.01.01.29.006.","Pemupukan berimbang",750000000,
"2.01.2.01.01.29.007.","Pengembangan Padi Terpadu",500000000,
"2.01.2.01.01.29.008.","Pengembangan Alsin Tanaman Pangan",437771800,
"2.01.2.01.01.29.009.","Penyebarluasan Informasi Perbenihan dalam Mendukung Jogja Benih",50000000,
"2.01.2.01.01.29.010.","Identifikasi Padi Hitam",15232000,
"2.01.2.01.01.29.011.","Pelayanan Sertifikasi Padi dan Palawija",73000000,
"2.01.2.01.01.29.012.","Peningkatan Pendapatan Petani Melalui Pengolahan Hasil Tanaman Pangan",25000000,
"2.01.2.01.01.29.013.","Pengembangan Perbenihan Tanaman Pangan",787580000,
"2.01.2.01.01.29.014.","Perbanyakan Benih Sumber di Tingkat Petani",100000000,
"2.01.2.01.01.29.015.","Penyediaan Benih dan Pengembangan jabal Kedelai",120000000,
"2.01.2.01.01.29.016.","Fasilitasi Sarana Produksi Budidaya Ubi Kayu",450000000,
"2.01.2.01.01.29.017.","Fasilitasi Sarana Teknologi Budidaya Jagung Hibrida",225000000,
"2.01.2.01.01.29.018.","Pengembangan dan Pembinaan Budidaya Garut",97421000,
"2.01.2.01.01.29.019.","Pengembangan Tanaman Ubi Jalar",99820000,
"2.01.2.01.01.29.020.","Pengembangan Tanaman Kacang Hijau",30000000,
"2.01.2.01.01.29.021.","Uji Ketahanan varietas",14500000,
"2.01.2.01.01.29.022.","Bimbingan dan Fasilitasi Sarana Pengendalian OPT dan Brigade Proteksi",173500000,
"2.01.2.01.01.29.023.","Pemberdayaan Petani Pemandu SLPHT",125000000,
"2.01.2.01.01.29.024.","SLPHT Berkelanjutan",100000000,
"2.01.2.01.01.29.025.","SLPHT Tanaman Pangan & Hortikultura",150000000,
"2.01.2.01.01.29.027.","Analisa standar dan Pengawasan Mutu Benih",85190000,
"2.01.2.01.01.29.029.","Pengenikatan Pendapatan Petani Melalui Agribisnis Tanaman Pangan",545800000,
"2.01.2.01.01.29.030.","Peningkatan Pengelolaan Sumber Daya Air Wilayah Sungai dan Pengelolaan Irigasi Partisipatif (Loan WISM)",127100000,
"2.01.2.01.01.30.","PROGRAM PENINGKATAN PRODUKSI HOLTIKULTURA",2442459900,
"2.01.2.01.01.30.001.","Pengembangan GAP Hortikultura",44096000,
"2.01.2.01.01.30.002.","Pengembangan Hortikultura Terpadu",180000000,
"2.01.2.01.01.30.003.","Fasilitasi Sarana dan Prasarana Pengembangan Buah, Sayur, dan Tanaman",326704000,
"2.01.2.01.01.30.004.","Peningkatan Budidaya Holtikultura di Lahan Pekarangan",130788500,
"2.01.2.01.01.30.005.","Peningkatan Pendapatan Petani Melalui Agribisnis Hortikultura",575000000,
"2.01.2.01.01.30.006.","Fasilitasi Pengelolaan Lahan dan Air untuk Pengembangan Buah Sayur dan Tanaman Obat",320000000,
"2.01.2.01.01.30.007.","Pengembangan Perbenihan Hortikultura",334829500,
"2.01.2.01.01.30.008.","Pengembangan Benih Sayuran di Tingkat Petani",54542350,
"2.01.2.01.01.30.009.","Sosialisasi Pengelolaan Lahan Pekarangan",155000000,
"2.01.2.01.01.30.012.","SLPHT Tanaman Hortikultura",100000000,
"2.01.2.01.01.30.013.","Fasilitasi Sarana Pengendalian OPT dan Brigade Proteksi Hortikultura",144000000,
"2.01.2.01.01.30.014.","Pengembangan Tanaman Hias",77499550,
,"JUMLAH BELANJA",55633936660,
