Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kota Yogyakarta,,
Tahun,2015,,
Kode Organisasi,1.01.01,,
Nama Organisasi,Dinas Pendidikan,,
Kolom,4,,
Kode Rekening,Uraian,Jumlah,Keterangan
1.01.01 ,Dinas Pendidikan ,"677927731381,00",
.01.1.01.01.000.000.4.1 ,PENDAPATAN ASLI DAERAH ,"281851750,00",
.01.1.01.01.000.000.4.1.4 ,LAIN-LAIN PENDAPATAN ASLI DAERAH YANG SAH ,"281851750,00",
.01.1.01.01.000.000.4.1.4.15 ,Pendapatan Lain-lain ,"281851750,00",
.01.1.01.01.000.000.4.1.4.15.07 ,Sewa Gedung ,"281851750,00",Sewa Gedung 281851750 (Perwal No. 27 Th. 2010)
.01.1.01.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"500900393705,00",
.01.1.01.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"500900393705,00",
.01.1.01.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"472733393705,00",
.01.1.01.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"216815467298,00",Gaji Pokok PNS/Uang Representasi (DAU) 216815467298
.01.1.01.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"19426509954,00",Tunjangan Keluarga (DAU) 19426509954
.01.1.01.01.000.000.5.1.1.01.03 ,Tunjangan Jabatan Struktural (DAU) ,"465242375,00",Tunjangan Jabatan Struktural (DAU) 465242375
.01.1.01.01.000.000.5.1.1.01.04 ,Tunjangan Jabatan Fungsional (DAU) ,"27834748136,00",Tunjangan Jabatan Fungsional (DAU) 27834748136
.01.1.01.01.000.000.5.1.1.01.05 ,Tunjangan Fungsional Umum (DAU) ,"1618587750,00",Tunjangan Fungsional Umum (DAU) 1618587750
.01.1.01.01.000.000.5.1.1.01.06 ,Tunjangan Beras (DAU) ,"12248954972,00",Tunjangan Beras (DAU) 12248954972
.01.1.01.01.000.000.5.1.1.01.07 ,Tunjangan  PPh/Tunjangan Khusus (DAU) ,"5706509524,00",Tunjangan  PPh/Tunjangan Khusus (DAU) 5706509524
.01.1.01.01.000.000.5.1.1.01.08 ,Pembulatan Gaji (DAU) ,"3374696,00",Pembulatan Gaji (DAU) 3374696
.01.1.01.01.000.000.5.1.1.01.21 ,Tunjangan Profesi Guru PNSD ( Dana Penyesuaian ) ,"188613999000,00",Tunjangan Profesi Guru PNSD ( Dana Penyesuaian ) 188613999000
.01.1.01.01.000.000.5.1.1.02 ,Tambahan Penghasilan PNS ,"28167000000,00",
.01.1.01.01.000.000.5.1.1.02.01 ,Tambahan Penghasilan Berdasarkan Beban Kerja ,"25080000000,00",Tambahan Penghasilan Berdasarkan Beban Kerja 25080000000
.01.1.01.01.000.000.5.1.1.02.06 ,Tambahan Penghasilan Guru PNS ( Dana Penyesuaian ) ,"3087000000,00",Tambahan Penghasilan Guru PNS ( Dana Penyesuaian ) 3087000000
.01.1.01.01.000.000.5.2 ,BELANJA LANGSUNG ,"177027337676,00",
.01.1.01.01.001.000.5.2 ,Program Pelayanan Administrasi Perkantoran ,"17699801801,00",
.01.1.01.01.001.001.5.2 ,Penyediaan Jasa Surat Menyurat ,"10276000,00",
1.01.1.01.01.001.001.5.2.2 ,BELANJA BARANG DAN JASA ,"10276000,00",
1.01.1.01.01.001.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,"9790000,00",
1.01.1.01.01.001.001.5.2.2.01.04 ,"Belanja Perangko, Materai, dan Benda Pos ","9790000,00","Belanja Perangko, Materai, dan Benda Pos 9790000"
1.01.1.01.01.001.001.5.2.2.03 ,Belanja Jasa Kantor ,"486000,00",
1.01.1.01.01.001.001.5.2.2.03.07 ,Belanja Paket/Pengiriman ,"486000,00",Belanja Paket/Pengiriman 486000
.01.1.01.01.001.006.5.2 ,Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasinoal ,"13600000,00",
1.01.1.01.01.001.006.5.2.2 ,BELANJA BARANG DAN JASA ,"13600000,00",
1.01.1.01.01.001.006.5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,"13600000,00",
1.01.1.01.01.001.006.5.2.2.05.05 ,Belanja STNK ,"13600000,00",Belanja STNK 13600000
.01.1.01.01.001.007.5.2 ,Penyediaan Jasa Administrasi Keuangan ,"633240000,00",
1.01.1.01.01.001.007.5.2.1 ,BELANJA PEGAWAI ,"633240000,00",
1.01.1.01.01.001.007.5.2.1.01 ,Honorarium PNS ,"511200000,00",
1.01.1.01.01.001.007.5.2.1.01.04 ,Honorarium Pengelola Keuangan/Barang ,"511200000,00",Honorarium Pengelola Keuangan/Barang 511200000
1.01.1.01.01.001.007.5.2.1.04 ,Honorarium Pengelola Dana BOS ,"122040000,00",
1.01.1.01.01.001.007.5.2.1.04.01 ,Honorarium Pengelolaan Dana BOS ,"122040000,00",Honorarium Pengelolaan Dana BOS 122040000
.01.1.01.01.001.008.5.2 ,Penyediaan Jasa Kebersihan Kantor ,"197140000,00",
1.01.1.01.01.001.008.5.2.1 ,BELANJA PEGAWAI ,"400000,00",
1.01.1.01.01.001.008.5.2.1.01 ,Honorarium PNS ,"400000,00",
1.01.1.01.01.001.008.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"400000,00",Honorarium Tim Pengadaan Barang dan Jasa 400000
1.01.1.01.01.001.008.5.2.2 ,BELANJA BARANG DAN JASA ,"196740000,00",
1.01.1.01.01.001.008.5.2.2.03 ,Belanja Jasa Kantor ,"1740000,00",
