"Judul","Realisasi Anggaran Pendapatan Belanja Daerah",,,,,
"Daerah","Kabupaten Sleman",,,,,
"Tahun",2015,,,,,
"Kode Organisasi","1.20.03.00",,,,,
"Nama Organisasi","Sekretariat Daerah",,,,,
"Kolom",7,,,,,
"No. Rekening","Uraian","Sebelum","Sesudah","Angka","Prosentase","Keterangan"
"1.20.1.20.03.00.00.001.4","Jumlah Pendapatan","0,00","0,00","0,00","0.00",
"1.20.1.20.03.00.00.002.5","BELANJA DAERAH",48372546245,49722498029,1349951784,"2.79",
1,"URUSAN WAJIB",12460085853,12460085853,"0,00","0.00",
"1.2","Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan",12460085853,12460085853,"0,00","0.00",
"1.20.1.20.03.00.00.002.5.1","Belanja Tidak Langsung",12460085853,12460085853,"0,00","0.00","Peraturan Pemerintah Nomor 30 Tahun 2015 Tentang Perubahan Ketujuh Belas atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji PNS."
"1.20.1.20.03.00.00.002.5.1.1","Belanja Pegawai",12460085853,12460085853,"0,00","0.00",
"1.20.1.20.03.00.00.002.5.2","Belanja Langsung",35912460392,37262412176,1349951784,"3.76",
1,"URUSAN WAJIB",34972794892,36322746676,1349951784,"3.86",
"1.2","Otonomi Daerah, Pemerintahan Umum, Administrasi Keuangan",23909771817,25128182426,1218410609,"5.10",
"1.20.1.20.03.00.01","pelayanan administrasi perkantoran",4246395900,4338438900,92043000,"2.17",
"1.20.1.20.03.00.02","Peningkatan Sarana dan Prasarana Aparatur",2834902875,2930602875,95700000,"3.38",
"1.20.1.20.03.00.05","Program peningkatan kapasitas sumber daya aparatur",110490000,100490000,-10000000,"(9.05)",
"1.20.1.20.03.00.06","Peningkatan Pengembangan Sistem Perencanaan, Pelaporan Capaian Kinerja dan Keuangan",165989200,165989200,"0,00","0.00",
"1.20.1.20.03.00.15","Program peningkatan kapasitas lembaga perwakilan rakyat daerah",30810000,30810000,"0,00","0.00",
"1.20.1.20.03.00.15.018","Pemilihan Kepala Daerah",30810000,30810000,"0,00","0.00",
"1.20.1.20.03.00.16","Peningkatan pelayanan kedinasan kepala daerah/wakil kepala daerah",1541816375,1551366375,9550000,"0.62",
"1.20.1.20.03.00.16.002","Penerimaan kunjungan kerja pejabat negara/departemen/lembaga pemerintah non dept/luar negeri",158288450,158288450,"0,00","0.00",
"1.20.1.20.03.00.16.004","Rapat Koordinasi Pejabat Pemerintah Daerah",49321000,49321000,"0,00","0.00",
"1.20.1.20.03.00.16.007","Koordinasi Penyelenggaraan Pemerintahan Umum dan Daerah",655473425,655473425,"0,00","0.00",
"1.20.1.20.03.00.16.015","Pelayanan pimpinan daerah",678733500,688283500,9550000,"1.41",
"1.20.1.20.03.00.17","Peningkatan dan Pengembangan pengelolaan keuangan dan kekayaan daerah",135541000,146495000,10954000,"8.08",
"1.20.1.20.03.00.17.016","Peningkatan manajemen aset/barang daerah",29541000,31045000,1504000,"5.09",
"1.20.1.20.03.00.17.077","Pengadaan pakaian kerja dan kelengkapannya",106000000,115450000,9450000,"8.92",
"1.20.1.20.03.00.19","Program pembinaan dan fasilitasi pengelolaan keuangan desa",147234000,147234000,"0,00","0.00",
"1.20.1.20.03.00.19.001","Evaluasi rancangan peraturan desa tentang APB Desa",147234000,147234000,"0,00","0.00",
"1.20.1.20.03.00.20","Program Peningkatan Pengawasan Internal dan Pengendalian Pelaksanaan dan Kebijakan Kepala Daerah",335673850,350966850,15293000,"4.56",
"1.20.1.20.03.00.20.003","Pengendalian manajemen pelaksanaan kebijakan KDH",49669000,49669000,"0,00","0.00",
"1.20.1.20.03.00.20.010","Monitoring dan Evaluasi Penyampaian Laporan Pelaksanaan Tugas OPD",68635000,68635000,"0,00","0.00",
"1.20.1.20.03.00.20.012","Monitoring dan Evaluasi Percepatan Pemberantasan Korupsi",144582850,161425850,16843000,"11.65",
"1.20.1.20.03.00.20.016","Implementasi SPIP",72787000,71237000,-1550000,"(2.13)",
"1.20.1.20.03.00.26","Program Penataan Peraturan Perundanga-Undangan",1261501650,1638091325,376589675,"29.85",
"1.20.1.20.03.00.26.002","Penyusunan rencana kerja rancangan peraturan perundang-undangan",84535500,102755900,18220400,"21.55",
"1.20.1.20.03.00.26.003","Legislasi Rancangan Peraturan Perundang-undangan",545752150,753121425,207369275,"38.00",
"1.20.1.20.03.00.26.005","Publikasi Peraturan Perundang-undangan",116080000,123080000,7000000,"6.03",
"1.20.1.20.03.00.26.006","kajian peraturan perundang-undangan daerah terhadap peraturan perundang-undangan yang baru, lebih t",38332000,38332000,"0,00","0.00",
"1.20.1.20.03.00.26.011","Penanganan Sistem Jaringan Dokumentasi dan Informasi (SJDI) Hukum",85329000,94329000,9000000,"10.55",
"1.20.1.20.03.00.26.016","Monitoring dan Evaluasi Pelaksanaan Peraturan Perundang-Undangan",291750000,426750000,135000000,"46.27",
"1.20.1.20.03.00.26.026","Sosialisasi Peraturan Perundang-undangan",70748000,70748000,"0,00","0.00",
