"Judul","Penjabaran Anggaran Pendapatan dan Belanja Daerah",,
"Daerah","Propinsi",,
"Tahun",2016,,
"Kode Organisasi","1.21.01.",,
"Nama Organisasi","Badan Ketahanan Pangan Dan Penyuluhan",,
"Kolom",4,,
"No. Rekening","Uraian","Jumlah","Keterangan"
"1.21.1.21.01.00.00.4.","Pendapatan",0,
,"JUMLAH PENDAPATAN",0,
"1.21.1.21.01.00.00.5.","Belanja",13651651310,
"1.21.1.21.01.00.00.5.1.","Belanja Tidak Langsung",5914760510,
"1.21.1.21.01.00.00.5.1.","Belanja Pegawai",5914760510,
"1.21.1.21.01.00.00.5.1.01.","Gaji Dan Tunjangan",5914760510,"Gaji Dan Tunjangan 5.914.760.510,00"
"1.21.1.21.01.00.00.5.2.","BELANJA LANGSUNG",7736854800,
"1.21.1.21.01.01.","PROGRAM PELAYANAN ADMINISTRASI PERKANTORAN",810024000,
"1.21.1.21.01.02.","PROGRAM PENINGKATAN SARANA DAN PRASARANA APARATUR",817770550,
"1.21.1.21.01.05.","PROGRAM PENINGKATAN KAPASITAS SUMBERDAYA APARATUR",43025000,
"1.21.1.21.01.06.","PROGRAM PENINGKATAN PENGEMBANGAN SISTEM PELAPORAN CAPAIAN KINERJA DAN KEUANGAN",278827000,
"1.21.1.21.01.17.","PROGRAM PENINGKATAN PENANGANAN DAERAH RAWAN PANGAN",900844550,
"1.21.1.21.01.17.001.","Pemantauan Desa Rawan Pangan",270155650,"Pemantauan Desa Rawan Pangan 270.155.650,00"
"1.21.1.21.01.17.002.","Pemberdayaan Daerah Rawan Pangan",62500000,"Pemberdayaan Daerah Rawan Pangan 62.500.000,00"
"1.21.1.21.01.17.003.","Penyusunan Peta Ketahaan dan Kerawanan Pangan Berbasis FSVA",90000000,"Penyusunan Peta Ketahaan dan Kerawanan Pangan Berbasis FSVA 90.000.000,00"
"1.21.1.21.01.17.004.","Penyusunan SKPG",90000000,"Penyusunan SKPG 90.000.000,00"
"1.21.1.21.01.18.","PROGRAM KETERSEDIAAN DAN CADANGAN PANGAN",685765000,
"1.21.1.21.01.18.001.","Penyusunan Neraca Bahan Makanan",95880000,"Penyusunan Neraca Bahan Makanan 95.880.000,00"
"1.21.1.21.01.18.002.","Penguatan Cadangan Pangan",352500000,"Penguatan Cadangan Pangan 352.500.000,00"
"1.21.1.21.01.18.003.","Analisis Ketersediaan Pangan",149605000,"Analisis Ketersediaan Pangan 149.605.000,00"
"1.21.1.21.01.18.004.","Penyusunan Ketersediaan dan Kebutuhan Pangan",87780000,"Penyusunan Ketersediaan dan Kebutuhan Pangan 87.780.000,00"
"1.21.1.21.01.19.","PROGRAM PENGANEKARAGAMAN KONSUMSI DAN KEAMANAN PANGAN",2025902700,
"1.21.1.21.01.19.001.","Gerakan Pola Pangan Beragam Bergizi Berimbang dan Aman",428000000,"Gerakan Pola Pangan Beragam Bergizi Berimbang dan Aman 428.000.000,00"
"1.21.1.21.01.19.002.","Penyebaran Informasi Produk Lokal",285450000,"Penyebaran Informasi Produk Lokal 285.450.000,00"
"1.21.1.21.01.19.003.","Pengembangan Diversifikasi Produk Antara",100000000,"Pengembangan Diversifikasi Produk Antara 100.000.000,00"
"1.21.1.21.01.19.004.","Penanganan Keamanan Pangan",452945500,"Penanganan Keamanan Pangan 452.945.500,00"
"1.21.1.21.01.19.005.","Pengembangan Kelembagaan OKKPD",70000000,"Pengembangan Kelembagaan OKKPD 70.000.000,00"
"1.21.1.21.01.19.007.","Pengembangan Kelembagaan Sertifikasi Pangan Segar",465360000,"Pengembangan Kelembagaan Sertifikasi Pangan Segar 465.360.000,00"
"1.21.1.21.01.19.008.","Pengembangan Produk Pangan Bersertifikat",50000000,"Pengembangan Produk Pangan Bersertifikat 50.000.000,00"
"1.21.1.21.01.19.009.","Penyusunan PPH",34750000,"Penyusunan PPH 34.750.000,00"
"1.21.1.21.01.19.010.","Pengembangan Kapasitas Petugas Pembinaan dan Pengawasan Keamanan Pangan",139397200,"Pengembangan Kapasitas Petugas Pembinaan dan Pengawasan Keamanan Pangan 139.397.200,00"
"1.21.1.21.01.20.","PROGRAM PENINGKATAN DISTRIBUSI DAN AKSES PANGAN",465250000,
"1.21.1.21.01.20.001.","Peningkatan Kelembagaan Akses Pangan",174000000,"Peningkatan Kelembagaan Akses Pangan 174.000.000,00"
"1.21.1.21.01.20.002.","Analisis Distribusi dan Harga Pangan",60360000,"Analisis Distribusi dan Harga Pangan 60.360.000,00"
"1.21.1.21.01.20.003.","Pemberdayaan dan Pengembangan Lembaga Distribusi Pangan Masyarakat (LDPM)",50000000,"Pemberdayaan dan Pengembangan Lembaga Distribusi Pangan Masyarakat (LDPM) 50.000.000,00"
"1.21.1.21.01.20.004.","Analisis Pasokan dan Akses Pangan",100890000,"Analisis Pasokan dan Akses Pangan 100.890.000,00"
"1.21.1.21.01.20.005.","Pengembangan/Pengadaan Software Simulasi Supply-Chan Ketahanan Pangan",80000000,"Pengembangan/Pengadaan Software Simulasi Supply-Chan Ketahanan Pangan 80.000.000,00"
"1.21.1.21.01.21.","PROGRAM PEMBERDAYAAN PENYULUHAN",1703446000,
"1.21.1.21.01.21.001.","Peningkatan Kompetensi dan Keprofeisan Tenaga Penyuluh",1084000000,"Peningkatan Kompetensi dan Keprofeisan Tenaga Penyuluh 1.084.000.000,00"
"1.21.1.21.01.21.002.","Penyelenggaraan Temu Teknis Penyuluh Swadaya/Swasta",143046000,"Penyelenggaraan Temu Teknis Penyuluh Swadaya/Swasta 143.046.000,00"
"1.21.1.21.01.21.003.","Penyusunan Program Penyuluh",40700000,"Penyusunan Program Penyuluh 40.700.000,00"
"1.21.1.21.01.21.004.","Pengembangan dan Penguatan Kelembagaan Penyuluhan",435700000,"Pengembangan dan Penguatan Kelembagaan Penyuluhan 435.700.000,00"
,"JUMLAH BELANJA",13651615310,
