"Judul","Ringkasan Perubahan Apbd Menurut Urusan Pemerintahan Daerah Dan Organisasi",,,,,,,,,,,,
"Daerah","Kabupaten Kulon Progo",,,,,,,,,,,,
"Tahun",2014,,,,,,,,,,,,
"Kode Organisasi","1 - Pemda Kulon Progo",,,,,,,,,,,,
"Kolom",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Kode","Urusan Pemerintahan Daerah","Pendapatan",,,,"Belanja",,,,,,,
,,"Sebelum Perubahan","Setelah Perubahan","Bertambah / Berkurang",,"Sebelum Perubahan",,,"Setelah Perubahan",,,"Bertambah / berkurang",
,,,,,,"Tidak Langsung","Langsung","Jumlah Belanja","Tidak Langsung","Langsung","Jumlah Belanja",,
1.18,"Kepemudaan dan Olah Raga ",0,0,0,0,0,246466350,246466350,0,630203325,630203325,383736975,155.7
"1.18 . 1.17.01 ","Dinas Kebudayaan Pariwisata Pemuda dan Olah Raga ",0,0,0,0,0,246466350,246466350,0,630203325,630203325,383736975,155.7
1.19,"Kesatuan Bangsa dan Politik Dalam Negeri ",0,0,0,0,4501386137,4640618360,9142004497,4521117001,4858051762,9379168763,237164266,2.59
"1.19 . 1.19.01 ","Kantor Kesatuan Bangsa dan Politik Dalam Negeri ",0,0,0,0,956967534,313606050,1270573584,911984619,423439250,1335423869,64850285,5.1
"1.19 . 1.19.02 ","Satuan Polisi Pamong Praja ",0,0,0,0,2361508021,1802526420,4164034441,2361720568,1844016562,4205737130,41702689,1
"1.19 . 1.19.03 ","Badan Penanggulangan Bencana Daerah ",0,0,0,0,1182910582,2524485890,3707396472,1247411814,2590595950,3838007764,130611292,3.52
1.2,"Otonomi Daerah, Pemerintahan Umum, Administrasi ",972992863963.75,997796155177.41,24803291213.66,2.55,129739252233.84,28925470160,158664722393.84,143963976459.16,33174960397,177138936856.16,18474214462.32,11.64
,"Keuangan Daerah, Perangkat Daerah, Kepegawaian ",,,,,,,,,,,,
,"dan Persandian",,,,,,,,,,,,
"1.20 . 1.20.01 ","Dewan Perwakilan Rakyat Daerah ",0,0,0,0,6944815250,0,6944815250,6944815250,0,6944815250,0,0
"1.20 . 1.20.02 ","Bupati dan Wakil Bupati ",0,0,0,0,563228185,0,563228185,683589296,0,683589296,120361111,21.37
"1.20 . 1.20.03 ","Sekretariat Daerah ",116600000,152599375,35999375,30.87,10129981020,8383303698,18513284718,9972503652,10968751210,20941254862,2427970144,13.11
"1.20 . 1.20.04 ","Sekretariat Dewan Perwakilan Rakyat Daerah ",0,0,0,0,2167186662,8674401100,10841587762,2209649070,9424740250,11634389320,792801558,7.31
"1.20 . 1.20.05 ","Dinas Pendapatan Pengelolaan Keuangan dan Asset ",34556479872.01,40429526827.75,5873046955.74,17,5523396613.58,2450919165,7974315778.58,5608596548.38,2859966490,8468563038.38,494247259.8,6.2
"1.20 . 1.20.06 ","Inspektorat Daerah ",0,0,0,0,3008399827,884135050,3892534877,3082996384,945228175,4028224559,135689682,3.49
"1.20 . 1.20.07 ","Badan Kepegawaian Daerah ",0,0,0,0,12991783437,5000995550,17992778987,15677649440,5249577300,20927226740,2934447753,16.31
"1.20 . 1.20.08 ","Kecamatan Temon ",0,0,0,0,1777660958,263528400,2041189358,1636746513,267330400,1904076913,-137112445,-6.72
"1.20 . 1.20.09 ","Kecamatan Wates ",0,0,0,0,1575678889,251841300,1827520189,1524679418,251841300,1776520718,-50999471,-2.79
"1.20 . 1.20.10 ","Kecamatan Panjatan ",0,0,0,0,1339231483,262879715,1602111198,1449863781,262879715,1712743496,110632298,6.91
"1.20 . 1.20.11 ","Kecamatan Galur ",0,0,0,0,1371481213,262958050,1634439263,1444950344,266240250,1711190594,76751331,4.7
"1.20 . 1.20.12 ","Kecamatan Lendah ",0,0,0,0,1377225128,267807500,1645032628,1376572362,297132500,1673704862,28672234,1.74
"1.20 . 1.20.13 ","Kecamatan Sentolo ",0,0,0,0,1585739051,271341860,1857080911,1492897530,276066860,1768964390,-88116521,-4.74
"1.20 . 1.20.14 ","Kecamatan Pengasih ",0,0,0,0,1681629302,267839300,1949468602,1497331801,272489300,1769821101,-179647501,-9.22
"1.20 . 1.20.15 ","Kecamatan Kokap ",0,0,0,0,1600230347,273279800,1873510147,1626169404,273279800,1899449204,25939057,1.38
