Judul,Penjabaran Anggaran Pendapatan dan Belanja,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.06.01.00,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,
Kolom,4,,
Kode Rekening,URAIAN,JUMLAH,Keterangan
1.01.1.01.06.00.15.071,Pengadaan sarana dan prasarana sekolah,787860000,
1.01.1.01.06.00.15.071.5.2.1,Belanja Pegawai,13668100,
1.01.1.01.06.00.15.071.5.2.2,Belanja Barang Dan Jasa,774191900,
1.01.1.01.06.00.15.074,Rehabilitasi gedung dan ruang sekolah,590083000,
1.01.1.01.06.00.15.074.5.2.1,Belanja Pegawai,20250000,
1.01.1.01.06.00.15.074.5.2.2,Belanja Barang Dan Jasa,569833000,
1.01.1.01.06.00.15.075,Pelatihan kompetensi pendidik dan tenaga kependidikan,440290500,
1.01.1.01.06.00.15.075.5.2.1,Belanja Pegawai,68904000,
1.01.1.01.06.00.15.075.5.2.2,Belanja Barang Dan Jasa,371386500,
1.01.1.01.06.00.15.076,Penyelengaraan akrediatasi PAUD,17529500,
1.01.1.01.06.00.15.076.5.2.1,Belanja Pegawai,1867500,
1.01.1.01.06.00.15.076.5.2.2,Belanja Barang Dan Jasa,15662000,
1.01.1.01.06.00.15.078,"Pembinaan Gugus PAUD (TK, KB, TPA, SPS)",95133000,
1.01.1.01.06.00.15.078.5.2.1,Belanja Pegawai,23805000,
1.01.1.01.06.00.15.078.5.2.2,Belanja Barang Dan Jasa,71328000,
1.01.1.01.06.00.15.079,Kerjasama pendidikan anak usia dini,370892000,
1.01.1.01.06.00.15.079.5.2.1,Belanja Pegawai,20952000,
1.01.1.01.06.00.15.079.5.2.2,Belanja Barang Dan Jasa,164494000,
1.01.1.01.06.00.15.080,Penyelenggaraan bantuan operasional PAUD,770957125,
1.01.1.01.06.00.15.080.5.2.1,Belanja Pegawai,291960000,
1.01.1.01.06.00.15.080.5.2.2,Belanja Barang Dan Jasa,478997125,
1.01.1.01.06.00.16,Program Wajib Belajar Pendidikan Dasar Sembilan Tahun,27695291925,
1.01.1.01.06.00.16.063,Penyediaan bantuan operasional sekolah Daerah (BOSDA),17301077975,
1.01.1.01.06.00.16.063.5.2.1,Belanja Pegawai,8640798000,
1.01.1.01.06.00.16.063.5.2.2,Belanja Barang Dan Jasa,3548279975,
1.01.1.01.06.00.16.063.5.2.3,Belanja Modal,5112000000,
1.01.1.01.06.00.16.076,Penyelenggaraan akreditasi sekolah dasar,27505000,
1.01.1.01.06.00.16.076.5.2.1,Belanja Pegawai,17712000,
1.01.1.01.06.00.16.076.5.2.2,Belanja Barang Dan Jasa,9793000,
1.01.1.01.06.00.16.085,Pembangunan Gedung dan Ruang Sekolah SD,2178285000,
1.01.1.01.06.00.16.085.5.2.1,Belanja Pegawai,14148200,
1.01.1.01.06.00.16.085.5.2.2,Belanja Barang Dan Jasa,879489700,
1.01.1.01.06.00.16.085.5.2.3,Belanja Modal,1284647100,
1.01.1.01.06.00.16.086,Pengadaan sarana dan prasarana sekolah SD,1481121200,
1.01.1.01.06.00.16.086.5.2.1,Belanja Pegawai,16197900,
1.01.1.01.06.00.16.086.5.2.2,Belanja Barang Dan Jasa,431117600,
1.01.1.01.06.00.16.086.5.2.3,Belanja Modal,1033805700,
1.01.1.01.06.00.16.089,Rehabilitasi gedung dan ruang sekolah SD,3384345500,
1.01.1.01.06.00.16.089.5.2.1,Belanja Pegawai,140722700,
1.01.1.01.06.00.16.089.5.2.2,Belanja Barang Dan Jasa,3243622800,
1.01.1.01.06.00.16.090,Pelatihan kompetensi pendidik dan tenaga kependidikan SD,41367875,
1.01.1.01.06.00.16.090.5.2.1,Belanja Pegawai,6408000,
1.01.1.01.06.00.16.090.5.2.2,Belanja Barang Dan Jasa,34959875,
1.01.1.01.06.00.16.091,Pembangunan gedung dan ruang sekolah SMP,495826000,
1.01.1.01.06.00.16.091.5.2.1,Belanja Pegawai,7236000,
1.01.1.01.06.00.16.091.5.2.2,Belanja Barang Dan Jasa,239812500,
1.01.1.01.06.00.16.091.5.2.3,Belanja Modal,248777500,
1.01.1.01.06.00.16.092,Pengadaan sarana dan prasarana sekolah SMP,586321000,
1.01.1.01.06.00.16.092.5.2.1,Belanja Pegawai,10966300,
1.01.1.01.06.00.16.092.5.2.2,Belanja Barang Dan Jasa,27313900,
1.01.1.01.06.00.16.092.5.2.3,Belanja Modal,548040800,
1.01.1.01.06.00.16.095,Rehabilitasi gedung dan ruang sekolah SMP,1886082000,
1.01.1.01.06.00.16.095.5.2.1,Belanja Pegawai,34595200,
1.01.1.01.06.00.16.095.5.2.2,Belanja Barang Dan Jasa,1851486800,
1.01.1.01.06.00.16.096,Pelatihan kompetensi pendidik dan tenaga kependidikan SMP,41367875,
1.01.1.01.06.00.16.096.5.2.1,Belanja Pegawai,6408000,
1.01.1.01.06.00.16.096.5.2.2,Belanja Barang Dan Jasa,34959875,
1.01.1.01.06.00.16.097,Penyelenggaraan bantuan operasional sekolah dasar (BOS),136347500,
1.01.1.01.06.00.16.097.5.2.1,Belanja Pegawai,99481500,
1.01.1.01.06.00.16.097.5.2.2,Belanja Barang Dan Jasa,36866000,
1.01.1.01.06.00.16.098,Penyelenggaraan Paket A dan paket B,135645000,
1.01.1.01.06.00.16.098.5.2.1,Belanja Pegawai,19845000,
1.01.1.01.06.00.16.098.5.2.2,Belanja Barang Dan Jasa,115800000,
1.01.1.01.06.00.17,Program Pendidikan Menengah,7232195225,
1.01.1.01.06.00.17.062,Penyediaan beasiswa bagi keluarga tidak mampu dan siswa berprestasi,380313500,
1.01.1.01.06.00.17.062.5.2.1,Belanja Pegawai,153013500,
1.01.1.01.06.00.17.062.5.2.2,Belanja Barang Dan Jasa,227300000,
1.01.1.01.06.00.17.063,Penyelenggaraan paket C setara SMA,114650600,
1.01.1.01.06.00.17.063.5.2.1,Belanja Pegawai,14870250,
1.01.1.01.06.00.17.063.5.2.2,Belanja Barang Dan Jasa,99780350,
1.01.1.01.06.00.17.064,Pembinaan kelembagaan sekolah dan manajemen sekolah dengan penerapan manajemen berbasis sekolah (MBS),89592000,
1.01.1.01.06.00.17.064.5.2.1,Belanja Pegawai,7542000,
1.01.1.01.06.00.17.064.5.2.2,Belanja Barang Dan Jasa,82050000,
1.01.1.01.06.00.17.066,Peningkatan kerjasama dengan dunia usaha dan industri,182674500,
1.01.1.01.06.00.17.066.5.2.1,Belanja Pegawai,13482000,
