Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.17.01.00,,
Nama Organisasi,Dinas Kebudayaan dan Pariwisata,,
Kolom,4,,
Kode Rekening,Uraian,Jumlah,Katerangan
1,URUSAN WAJIB,4217258400,
1.17,Kebudayaan,4217258400,
1.17.1.17.15.00.00.001.4,Pendapatan,4217258400,Perda No. 12 Tahun 2010 tentang retribusi tempat rekreasi dan olah raga Perda No.5 Tahun 2012 Tentang Retribusi Pemakaian Kekayaan Daerah
1.17.1.17.15.00.00.001.4.1,Pendapatan Asli Daerah,4217258400,
1.17.1.17.15.00.00.001.4.1.2,Retribusi Daerah,3932258400,
1.17.1.17.15.00.00.001.4.1.4,Lain-lain Pendapatan Asli Daerah yang Sah,285000000,
1.17.1.17.15.00.00.002.5,BELANJA DAERAH,19149037310,
1,URUSAN WAJIB,4521069920,
1.17,Kebudayaan,4521069920,
1.17.1.17.15.00.00.002.5.1,Belanja Tidak Langsung,4521069920,
1.17.1.17.15.00.00.002.5.1.1,Belanja Pegawai,4521069920,
1.17.1.17.15.00.00.002.5.2,Belanja Langsung,14627967390,
1,URUSAN WAJIB,9212471275,
1.17,Kebudayaan,8443775875,
1.17.1.17.15.00.01,Program Pelayanan Administrasi Perkantoran,1255097000,
1.17.1.17.15.00.01.007,Penyediaan jasa administrasi keuangan,47700000,
1.17.1.17.15.00.01.007.5.2.1,Belanja Pegawai,47700000,
1.17.1.17.15.00.01.017,Penyediaan makanan dan minuman rapat,78800000,
1.17.1.17.15.00.01.017.5.2.2,Belanja Barang Dan Jasa,78800000,
1.17.1.17.15.00.01.018,Rapat-rapat Koordinasi dan konsultasi,126310000,
1.17.1.17.15.00.01.018.5.2.2,Belanja Barang Dan Jasa,126310000,
1.17.1.17.15.00.01.020,Penyediaan bahan dan jasa administrasi perkantoran,391000000,
1.17.1.17.15.00.01.020.5.2.1,Belanja Pegawai,2750000,
1.17.1.17.15.00.01.020.5.2.2,Belanja Barang Dan Jasa,388250000,
1.17.1.17.15.00.01.023,Penyediaan jasa langganan,142200000,
1.17.1.17.15.00.01.023.5.2.2,Belanja Barang Dan Jasa,142200000,
1.17.1.17.15.00.01.024,Penyediaan jasa keamanan dan kebersihan kantor,469087000,
1.17.1.17.15.00.01.024.5.2.1,Belanja Pegawai,242780000,
1.17.1.17.15.00.01.024.5.2.2,Belanja Barang Dan Jasa,226307000,
1.17.1.17.15.00.02,Program peningkatan sarana dan prasarana aparatur,671613000,
1.17.1.17.15.00.02.022,Pemeliharaan rutin/berkala gedung kantor dan rumah dinas,203693000,
1.17.1.17.15.00.02.022.5.2.1,Belanja Pegawai,1434000,
1.17.1.17.15.00.02.022.5.2.2,Belanja Barang Dan Jasa,157259000,
